,count
2020-01-01,7529
2020-01-02,14742
2020-01-03,15933
2020-01-04,11696
2020-01-05,9731
2020-01-06,16575
2020-01-07,17060
2020-01-08,17229
2020-01-09,17446
2020-01-10,18157
2020-01-11,12328
2020-01-12,10664
2020-01-13,16707
2020-01-14,17644
2020-01-15,17518
2020-01-16,18064
2020-01-17,18349
2020-01-18,12825
2020-01-19,10413
2020-01-20,17227
2020-01-21,17756
2020-01-22,17625
2020-01-23,18288
2020-01-24,18132
2020-01-25,13368
2020-01-26,11415
2020-01-27,16972
2020-01-28,17447
2020-01-29,18022
2020-01-30,17987
2020-01-31,18846
2020-02-01,13191
2020-02-02,11265
2020-02-03,17394
2020-02-04,17875
2020-02-05,18059
2020-02-06,18121
2020-02-07,18502
2020-02-08,13154
2020-02-09,9839
2020-02-10,17642
2020-02-11,17316
2020-02-12,17942
2020-02-13,18051
2020-02-14,18659
2020-02-15,12333
2020-02-16,10408
2020-02-17,17318
2020-02-18,17875
2020-02-19,18368
2020-02-20,18628
2020-02-21,18508
2020-02-22,13291
2020-02-23,10792
2020-02-24,17531
2020-02-25,17799
2020-02-26,17962
2020-02-27,18380
2020-02-28,18608
2020-02-29,12331
2020-03-01,11171
2020-03-02,17904
2020-03-03,17956
2020-03-04,18142
2020-03-05,18389
2020-03-06,18666
2020-03-07,13524
2020-03-08,11284
2020-03-09,17206
2020-03-10,17471
2020-03-11,17340
2020-03-12,17546
2020-03-13,16758
2020-03-14,10408
2020-03-15,7969
2020-03-16,13529
2020-03-17,6917
2020-03-18,12986
2020-03-19,12933
2020-03-20,12659
2020-03-21,7364
2020-03-22,6399
2020-03-23,12147
2020-03-24,12063
2020-03-25,12652
2020-03-26,12906
2020-03-27,13552
2020-03-28,4858
2020-03-29,2672
2020-03-30,7639
2020-03-31,7233
2020-04-01,7647
2020-04-02,7806
2020-04-03,8087
2020-04-04,4588
2020-04-05,3252
2020-04-06,8031
2020-04-07,8111
2020-04-08,7911
2020-04-09,7792
2020-04-10,6718
2020-04-11,3732
2020-04-12,1896
2020-04-13,2798
2020-04-14,7367
2020-04-15,8076
2020-04-16,7989
2020-04-17,7791
2020-04-18,4348
2020-04-19,2832
2020-04-20,7775
2020-04-21,8022
2020-04-22,8154
2020-04-23,8395
2020-04-24,8617
2020-04-25,4405
2020-04-26,2961
2020-04-27,8213
2020-04-28,8533
2020-04-29,8577
