,count
2020-01-01,59680
2020-01-02,92637
2020-01-03,101264
2020-01-04,81880
2020-01-05,73704
2020-01-06,105511
2020-01-07,110838
2020-01-08,114372
2020-01-09,114577
2020-01-10,116219
2020-01-11,84398
2020-01-12,81604
2020-01-13,106652
2020-01-14,115436
2020-01-15,119701
2020-01-16,117932
2020-01-17,118359
2020-01-18,90297
2020-01-19,80833
2020-01-20,113312
2020-01-21,117316
2020-01-22,119482
2020-01-23,119204
2020-01-24,118197
2020-01-25,93014
2020-01-26,84503
2020-01-27,115088
2020-01-28,118394
2020-01-29,120274
2020-01-30,121090
2020-01-31,119886
2020-02-01,93947
2020-02-02,90462
2020-02-03,114021
2020-02-04,119014
2020-02-05,121276
2020-02-06,120816
2020-02-07,117414
2020-02-08,89368
2020-02-09,66190
2020-02-10,113818
2020-02-11,112332
2020-02-12,120568
2020-02-13,121707
2020-02-14,117376
2020-02-15,79656
2020-02-16,76217
2020-02-17,115404
2020-02-18,118929
2020-02-19,121096
2020-02-20,122005
2020-02-21,117997
2020-02-22,89191
2020-02-23,80723
2020-02-24,114837
2020-02-25,118465
2020-02-26,119309
2020-02-27,121502
2020-02-28,120521
2020-02-29,82594
2020-03-01,83384
2020-03-02,113653
2020-03-03,118760
2020-03-04,121776
2020-03-05,121056
2020-03-06,119832
2020-03-07,93075
2020-03-08,85162
2020-03-09,113329
2020-03-10,115478
2020-03-11,116105
2020-03-12,113342
2020-03-13,100664
2020-03-14,64720
2020-03-15,55147
2020-03-16,78329
2020-03-17,51939
2020-03-18,79024
2020-03-19,78491
2020-03-20,79600
2020-03-21,52556
2020-03-22,52832
2020-03-23,68925
2020-03-24,69048
2020-03-25,65698
2020-03-26,65352
2020-03-27,67596
2020-03-28,21836
2020-03-29,12900
2020-03-30,33264
2020-03-31,30525
2020-04-01,30781
2020-04-02,31279
2020-04-03,32503
2020-04-04,18404
2020-04-05,13903
2020-04-06,31436
2020-04-07,32823
2020-04-08,32412
2020-04-09,31278
2020-04-10,24985
2020-04-11,15269
2020-04-12,9980
2020-04-13,13069
2020-04-14,31870
2020-04-15,32753
2020-04-16,33502
2020-04-17,33939
2020-04-18,18123
2020-04-19,13448
2020-04-20,33032
2020-04-21,34228
2020-04-22,35048
2020-04-23,35638
2020-04-24,36310
2020-04-25,19373
2020-04-26,14265
2020-04-27,35250
2020-04-28,35628
2020-04-29,35941
2020-04-30,36936
2020-05-01,36844
2020-05-02,19833
2020-05-03,14390
2020-05-04,16724
2020-05-05,40635
2020-05-06,41339
2020-05-07,41890
2020-05-08,42920
2020-05-09,24241
2020-05-10,17940
2020-05-11,41011
2020-05-12,43167
2020-05-13,44410
2020-05-14,46003
2020-05-15,46722
2020-05-16,27563
2020-05-17,22024
2020-05-18,56490
2020-05-19,60065
2020-05-20,63022
2020-05-21,63383
2020-05-22,63694
2020-05-23,37558
2020-05-24,30540
2020-05-25,64586
2020-05-26,67010
2020-05-27,69566
2020-05-28,71936
2020-05-29,70612
2020-05-30,41423
2020-05-31,33073
2020-06-01,37630
2020-06-02,74002
2020-06-03,71346
2020-06-04,72811
2020-06-05,74269
2020-06-06,45157
2020-06-07,39888
2020-06-08,83361
2020-06-09,82910
2020-06-10,83240
2020-06-11,82808
2020-06-12,85388
2020-06-13,66041
2020-06-14,62373
2020-06-15,88499
2020-06-16,88470
2020-06-17,88210
2020-06-18,90101
2020-06-19,92941
2020-06-20,75109
2020-06-21,64350
2020-06-22,86114
2020-06-23,89857
2020-06-24,95540
2020-06-25,102470
2020-06-26,98547
2020-06-27,73647
2020-06-28,62655
2020-06-29,93847
2020-06-30,97931
2020-07-01,99065
2020-07-02,103632
2020-07-03,103946
2020-07-04,81250
2020-07-05,74394
2020-07-06,97126
2020-07-07,95604
2020-07-08,98586
2020-07-09,102932
2020-07-10,107653
2020-07-11,88950
2020-07-12,82988
2020-07-13,97441
2020-07-14,98024
2020-07-15,103406
2020-07-16,108072
2020-07-17,106775
2020-07-18,87703
2020-07-19,85820
2020-07-20,101946
2020-07-21,104842
2020-07-22,103350
2020-07-23,103885
2020-07-24,106252
2020-07-25,83764
2020-07-26,79529
2020-07-27,95946
2020-07-28,102953
2020-07-29,104348
2020-07-30,107250
2020-07-31,109441
2020-08-01,85429
2020-08-02,75040
2020-08-03,82267
2020-08-04,101014
2020-08-05,102092
2020-08-06,108811
2020-08-07,107729
2020-08-08,89078
2020-08-09,79697
2020-08-10,95126
2020-08-11,99696
2020-08-12,106146
2020-08-13,105840
2020-08-14,108100
2020-08-15,87880
2020-08-16,73087
2020-08-17,94968
2020-08-18,101347
2020-08-19,98729
2020-08-20,99914
2020-08-21,106032
2020-08-22,82455
2020-08-23,76998
2020-08-24,99684
2020-08-25,95112
2020-08-26,106506
2020-08-27,101622
2020-08-28,102060
2020-08-29,86446
2020-08-30,83042
2020-08-31,100242
2020-09-01,100914
2020-09-02,100524
2020-09-03,105580
2020-09-04,109843
2020-09-05,88617
2020-09-06,82467
2020-09-07,97719
2020-09-08,94381
2020-09-09,105624
2020-09-10,105937
2020-09-11,106216
2020-09-12,89681
2020-09-13,89667
2020-09-14,101633
2020-09-15,105960
2020-09-16,107358
2020-09-17,108382
2020-09-18,109957
2020-09-19,69473
2020-09-20,63700
2020-09-21,94327
2020-09-22,95444
2020-09-23,99196
2020-09-24,98453
2020-09-25,101697
2020-09-26,75248
2020-09-27,68477
2020-09-28,93763
2020-09-29,98351
2020-09-30,96443
2020-10-01,100331
2020-10-02,103758
2020-10-03,73564
2020-10-04,52460
2020-10-05,89606
2020-10-06,97818
2020-10-07,92215
2020-10-08,93584
2020-10-09,94798
2020-10-10,65189
2020-10-11,54449
2020-10-12,89681
2020-10-13,90855
2020-10-14,94751
2020-10-15,96550
2020-10-16,96808
2020-10-17,64548
2020-10-18,54142
2020-10-19,92046
2020-10-20,97171
2020-10-21,105763
2020-10-22,79222
2020-10-23,79035
2020-10-24,37568
2020-10-25,26885
2020-10-26,31674
2020-10-27,76198
2020-10-28,77708
2020-10-29,79126
2020-10-30,81124
2020-10-31,41213
2020-11-01,31002
2020-11-02,79503
2020-11-03,83325
2020-11-04,83665
2020-11-05,85929
2020-11-06,87074
2020-11-07,48678
2020-11-08,36752
2020-11-09,82224
2020-11-10,85974
2020-11-11,84816
2020-11-12,87593
2020-11-13,88989
2020-11-14,50264
2020-11-15,38157
2020-11-16,83325
2020-11-17,86353
2020-11-18,87895
2020-11-19,89231
2020-11-20,90110
2020-11-21,52878
2020-11-22,42086
2020-11-23,85285
2020-11-24,86483
2020-11-25,90082
2020-11-26,91141
2020-11-27,92821
2020-11-28,55180
2020-11-29,43809
2020-11-30,86935
2020-12-01,97090
2020-12-02,99412
2020-12-03,101082
2020-12-04,102693
2020-12-05,71984
2020-12-06,61007
2020-12-07,96603
2020-12-08,99844
2020-12-09,100803
2020-12-10,102729
2020-12-11,104715
2020-12-12,78334
2020-12-13,61386
2020-12-14,99021
2020-12-15,103140
2020-12-16,104461
2020-12-17,106517
2020-12-18,110909
2020-12-19,85418
2020-12-20,77708
2020-12-21,103310
2020-12-22,102608
2020-12-23,92714
2020-12-24,66952
2020-12-25,37934
2020-12-26,46405
2020-12-27,44009
2020-12-28,46831
2020-12-29,58877
2020-12-30,63512
2020-12-31,46396
2021-01-01,23570
2021-01-02,32749
2021-01-03,29181
2021-01-04,61671
2021-01-05,64855
2021-01-06,67136
2021-01-07,64167
2021-01-08,67140
2021-01-09,33577
2021-01-10,26350
2021-01-11,57438
2021-01-12,57388
2021-01-13,58800
2021-01-14,59518
2021-01-15,61393
2021-01-16,34676
2021-01-17,25406
2021-01-18,58558
2021-01-19,58633
2021-01-20,58924
2021-01-21,60338
2021-01-22,62768
2021-01-23,35253
2021-01-24,23313
2021-01-25,58993
2021-01-26,60727
