,count
2020-01-01,13199
2020-01-02,20132
2020-01-03,22014
2020-01-04,17957
2020-01-05,16052
2020-01-06,20692
2020-01-07,21385
2020-01-08,22252
2020-01-09,22546
2020-01-10,24260
2020-01-11,17490
2020-01-12,17218
2020-01-13,20245
2020-01-14,22997
2020-01-15,23681
2020-01-16,23020
2020-01-17,24749
2020-01-18,19000
2020-01-19,18136
2020-01-20,22910
2020-01-21,22843
2020-01-22,23725
2020-01-23,23676
2020-01-24,25240
2020-01-25,19807
2020-01-26,18478
2020-01-27,22925
2020-01-28,23474
2020-01-29,23717
2020-01-30,24217
2020-01-31,25413
2020-02-01,19294
2020-02-02,18772
2020-02-03,22952
2020-02-04,23828
2020-02-05,23766
2020-02-06,24382
2020-02-07,25246
2020-02-08,19331
2020-02-09,15037
2020-02-10,22444
2020-02-11,22319
2020-02-12,23851
2020-02-13,24030
2020-02-14,25132
2020-02-15,16537
2020-02-16,17594
2020-02-17,23607
2020-02-18,24511
2020-02-19,24931
2020-02-20,25863
2020-02-21,26454
2020-02-22,21318
2020-02-23,18623
2020-02-24,23330
2020-02-25,23787
2020-02-26,23921
2020-02-27,24748
2020-02-28,25937
2020-02-29,17914
2020-03-01,18684
2020-03-02,23763
2020-03-03,24097
2020-03-04,24502
2020-03-05,25362
2020-03-06,26411
2020-03-07,19692
2020-03-08,19188
2020-03-09,23288
2020-03-10,23096
2020-03-11,23096
2020-03-12,23602
2020-03-13,22475
2020-03-14,15295
2020-03-15,13527
2020-03-16,17325
2020-03-17,12398
2020-03-18,16906
2020-03-19,17140
2020-03-20,18033
2020-03-21,12489
2020-03-22,13815
2020-03-23,15772
2020-03-24,15960
2020-03-25,15040
2020-03-26,14763
2020-03-27,16220
2020-03-28,5519
2020-03-29,3096
2020-03-30,7271
2020-03-31,6857
2020-04-01,6856
2020-04-02,7175
2020-04-03,7540
2020-04-04,4459
2020-04-05,3206
2020-04-06,6987
2020-04-07,7529
2020-04-08,7235
2020-04-09,7057
2020-04-10,5586
2020-04-11,3228
2020-04-12,1899
2020-04-13,2798
2020-04-14,7224
2020-04-15,7179
2020-04-16,7498
2020-04-17,7574
2020-04-18,3849
2020-04-19,2871
2020-04-20,7566
2020-04-21,7710
2020-04-22,7900
2020-04-23,8253
2020-04-24,8122
2020-04-25,4278
2020-04-26,3086
2020-04-27,8105
2020-04-28,8045
2020-04-29,7707
2020-04-30,8211
2020-05-01,7887
2020-05-02,3981
2020-05-03,2775
2020-05-04,3531
2020-05-05,9102
2020-05-06,9149
2020-05-07,9333
2020-05-08,9460
2020-05-09,5098
2020-05-10,3827
2020-05-11,9107
2020-05-12,9670
2020-05-13,9955
2020-05-14,10151
2020-05-15,10517
2020-05-16,5954
2020-05-17,4703
2020-05-18,12541
2020-05-19,13272
2020-05-20,13695
2020-05-21,13891
2020-05-22,14058
2020-05-23,8016
2020-05-24,6235
2020-05-25,14460
2020-05-26,14451
2020-05-27,14931
2020-05-28,15578
2020-05-29,14954
2020-05-30,8159
2020-05-31,6221
2020-06-01,7513
2020-06-02,16322
2020-06-03,15572
2020-06-04,15930
2020-06-05,16246
2020-06-06,9798
2020-06-07,8100
2020-06-08,17012
2020-06-09,17296
2020-06-10,17326
2020-06-11,17684
2020-06-12,18140
2020-06-13,13306
2020-06-14,11730
2020-06-15,18657
2020-06-16,18385
2020-06-17,18716
2020-06-18,18658
2020-06-19,19741
2020-06-20,15706
2020-06-21,13708
2020-06-22,18159
2020-06-23,18798
2020-06-24,20290
2020-06-25,23464
2020-06-26,22414
2020-06-27,16741
2020-06-28,15076
2020-06-29,23135
2020-06-30,23076
2020-07-01,23970
2020-07-02,25289
2020-07-03,27695
2020-07-04,22301
2020-07-05,22818
2020-07-06,24788
2020-07-07,23624
2020-07-08,23710
2020-07-09,25016
2020-07-10,29685
2020-07-11,24759
2020-07-12,25303
2020-07-13,24668
2020-07-14,23725
2020-07-15,25462
2020-07-16,27381
2020-07-17,30305
2020-07-18,23722
2020-07-19,26581
2020-07-20,26882
2020-07-21,26507
2020-07-22,26467
2020-07-23,26737
2020-07-24,29877
2020-07-25,23683
2020-07-26,23844
2020-07-27,25165
2020-07-28,25825
2020-07-29,26160
2020-07-30,28088
2020-07-31,31550
2020-08-01,26365
2020-08-02,22485
2020-08-03,25913
2020-08-04,26545
2020-08-05,25685
2020-08-06,27731
2020-08-07,30357
2020-08-08,28349
2020-08-09,27316
2020-08-10,25918
2020-08-11,25651
2020-08-12,28325
2020-08-13,27313
2020-08-14,30659
2020-08-15,25398
2020-08-16,23663
2020-08-17,24743
2020-08-18,25369
2020-08-19,24957
2020-08-20,23783
2020-08-21,28278
2020-08-22,23128
2020-08-23,23396
2020-08-24,25294
2020-08-25,21563
2020-08-26,25796
2020-08-27,23874
2020-08-28,26648
2020-08-29,22544
2020-08-30,23620
2020-08-31,23394
2020-09-01,22493
2020-09-02,22190
2020-09-03,23239
2020-09-04,27765
2020-09-05,21951
2020-09-06,22395
2020-09-07,22192
2020-09-08,22423
2020-09-09,23545
2020-09-10,23439
2020-09-11,26580
2020-09-12,21477
2020-09-13,24815
2020-09-14,23223
2020-09-15,23838
2020-09-16,23860
2020-09-17,24714
2020-09-18,27624
2020-09-19,17275
2020-09-20,17546
2020-09-21,21368
2020-09-22,20731
2020-09-23,21454
2020-09-24,21439
2020-09-25,22956
2020-09-26,16521
2020-09-27,15385
2020-09-28,20285
2020-09-29,20963
2020-09-30,20604
2020-10-01,21256
2020-10-02,22940
2020-10-03,15834
2020-10-04,13075
2020-10-05,21165
2020-10-06,21714
2020-10-07,18836
2020-10-08,19028
2020-10-09,20009
2020-10-10,12050
2020-10-11,9984
2020-10-12,18334
2020-10-13,18596
2020-10-14,19215
2020-10-15,19395
2020-10-16,19588
2020-10-17,12020
2020-10-18,9956
2020-10-19,19397
2020-10-20,19894
2020-10-21,22441
2020-10-22,16480
2020-10-23,16590
2020-10-24,7757
2020-10-25,5330
2020-10-26,6461
2020-10-27,15900
2020-10-28,16138
2020-10-29,16354
2020-10-30,16866
2020-10-31,8165
2020-11-01,6405
2020-11-02,16754
2020-11-03,17266
2020-11-04,17501
2020-11-05,18111
2020-11-06,18405
2020-11-07,9905
2020-11-08,7420
2020-11-09,17214
2020-11-10,18125
2020-11-11,17494
2020-11-12,18439
2020-11-13,19085
2020-11-14,10027
2020-11-15,7958
2020-11-16,17633
2020-11-17,17837
2020-11-18,18472
2020-11-19,18606
2020-11-20,19143
2020-11-21,10527
2020-11-22,8639
2020-11-23,17996
2020-11-24,18131
2020-11-25,18591
2020-11-26,18888
2020-11-27,19612
2020-11-28,11078
2020-11-29,8961
2020-11-30,18505
2020-12-01,20201
2020-12-02,20820
2020-12-03,20857
2020-12-04,22137
2020-12-05,14772
2020-12-06,13086
2020-12-07,20233
2020-12-08,20853
2020-12-09,20947
2020-12-10,21275
2020-12-11,22545
2020-12-12,16190
2020-12-13,13169
2020-12-14,20768
2020-12-15,21308
2020-12-16,21878
2020-12-17,22627
2020-12-18,25041
2020-12-19,19816
2020-12-20,18519
2020-12-21,22639
2020-12-22,22443
2020-12-23,20380
2020-12-24,14241
2020-12-25,7487
2020-12-26,11908
2020-12-27,9302
2020-12-28,9510
2020-12-29,11436
2020-12-30,12555
2020-12-31,9322
2021-01-01,4603
2021-01-02,6852
2021-01-03,6158
2021-01-04,13284
2021-01-05,13742
2021-01-06,14349
2021-01-07,13860
2021-01-08,14504
2021-01-09,6950
2021-01-10,5423
2021-01-11,12571
2021-01-12,12146
2021-01-13,12435
2021-01-14,12840
2021-01-15,13220
2021-01-16,7198
2021-01-17,5184
2021-01-18,12920
2021-01-19,12590
2021-01-20,12358
2021-01-21,13037
2021-01-22,13347
2021-01-23,7181
2021-01-24,4580
2021-01-25,12828
2021-01-26,12965
