,count
2020-01-01,48037
2020-01-02,48029
2020-01-03,48053
2020-01-04,48079
2020-01-05,48091
2020-01-06,48054
2020-01-07,48040
2020-01-08,48026
2020-01-09,48055
2020-01-10,48080
2020-01-11,48041
2020-01-12,48060
2020-01-13,48071
2020-01-14,48049
2020-01-15,48060
2020-01-16,48053
2020-01-17,48057
2020-01-18,48031
2020-01-19,48035
2020-01-20,48097
2020-01-21,48027
2020-01-22,48026
2020-01-23,48050
2020-01-24,48081
2020-01-25,48059
2020-01-26,48024
2020-01-27,48011
2020-01-28,48064
2020-01-29,48024
2020-01-30,48071
2020-01-31,48050
2020-02-01,48069
2020-02-02,48024
2020-02-03,48068
2020-02-04,48039
2020-02-05,48075
2020-02-06,48075
2020-02-07,48057
2020-02-08,48074
2020-02-09,48048
2020-02-10,48058
2020-02-11,48057
2020-02-12,48063
2020-02-13,48052
2020-02-14,48053
2020-02-15,48010
2020-02-16,48072
2020-02-17,48038
2020-02-18,48100
2020-02-19,48063
2020-02-20,48074
2020-02-21,48076
2020-02-22,48083
2020-02-23,48062
2020-02-24,48040
2020-02-25,48043
2020-02-26,48098
2020-02-27,48084
2020-02-28,48034
2020-02-29,48066
2020-03-01,48049
2020-03-02,48052
2020-03-03,42692
2020-03-04,35213
2020-03-05,48117
2020-03-06,48101
2020-03-07,48118
2020-03-08,48119
2020-03-09,48088
2020-03-10,48103
2020-03-11,48112
2020-03-12,48091
2020-03-13,48090
2020-03-14,48107
2020-03-15,48139
2020-03-16,48099
2020-03-17,48095
2020-03-18,48110
2020-03-19,48089
2020-03-20,48123
2020-03-21,48128
2020-03-22,48097
2020-03-23,48102
2020-03-24,48112
2020-03-25,48120
2020-03-26,48096
2020-03-27,48582
2020-03-28,51860
2020-03-29,49640
2020-03-30,51783
2020-03-31,51792
2020-04-01,51824
2020-04-02,51803
2020-04-03,51813
2020-04-04,51757
2020-04-05,51742
2020-04-06,51786
2020-04-07,51788
2020-04-08,51681
2020-04-09,47264
2020-04-10,43114
2020-04-11,13766
2020-04-12,13085
2020-04-13,25010
2020-04-14,34462
2020-04-15,46207
2020-04-16,45212
2020-04-17,50206
2020-04-18,23490
2020-04-19,4249
2020-04-20,583
2020-04-21,15128
2020-04-22,76991
2020-04-23,56416
2020-04-24,2265
2020-04-25,89426
2020-04-26,61545
2020-04-27,56269
2020-04-28,96848
2020-04-29,96816
2020-04-30,96803
2020-05-01,
2020-05-02,
2020-05-03,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-09,
2020-05-10,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,82487
2020-07-02,80593
2020-07-03,81881
2020-07-04,81419
2020-07-05,82423
2020-07-06,81572
2020-07-07,72955
2020-07-08,82088
2020-07-09,82055
2020-07-10,81218
2020-07-11,81279
2020-07-12,80798
2020-07-13,81945
2020-07-14,82525
2020-07-15,81103
2020-07-16,80010
2020-07-17,79303
2020-07-18,78580
2020-07-19,78042
2020-07-20,78171
2020-07-21,79562
2020-07-22,76707
2020-07-23,79607
2020-07-24,79515
2020-07-25,78427
2020-07-26,76661
2020-07-27,79590
2020-07-28,77335
2020-07-29,78062
2020-07-30,79016
2020-07-31,79329
2020-08-01,79843
2020-08-02,76301
2020-08-03,76534
2020-08-04,79201
2020-08-05,78998
2020-08-06,78486
2020-08-07,79681
2020-08-08,79084
2020-08-09,77039
2020-08-10,34592
2020-08-11,30505
2020-08-12,96806
2020-08-13,96842
2020-08-14,96914
2020-08-15,96813
2020-08-16,96865
2020-08-17,96783
2020-08-18,96808
2020-08-19,75707
