,count
2020-01-01,1579
2020-01-02,2249
2020-01-03,2322
2020-01-04,1854
2020-01-05,1524
2020-01-06,1842
2020-01-07,1834
2020-01-08,1878
2020-01-09,1874
2020-01-10,2045
2020-01-11,1521
2020-01-12,1493
2020-01-13,1099
2020-01-14,1873
2020-01-15,1799
2020-01-16,1913
2020-01-17,2279
2020-01-18,1839
2020-01-19,1666
2020-01-20,1854
2020-01-21,1860
2020-01-22,1778
2020-01-23,2053
2020-01-24,2419
2020-01-25,1914
2020-01-26,1635
2020-01-27,1881
2020-01-28,1769
2020-01-29,1909
2020-01-30,1917
2020-01-31,2241
2020-02-01,1807
2020-02-02,1737
2020-02-03,1951
2020-02-04,1950
2020-02-05,1971
2020-02-06,2076
2020-02-07,2228
2020-02-08,1516
2020-02-09,1217
2020-02-10,1717
2020-02-11,1770
2020-02-12,1989
2020-02-13,2121
2020-02-14,2528
2020-02-15,2001
2020-02-16,1722
2020-02-17,2019
2020-02-18,2160
2020-02-19,1905
2020-02-20,2225
2020-02-21,2275
2020-02-22,1928
2020-02-23,1564
2020-02-24,2005
2020-02-25,1923
2020-02-26,2105
2020-02-27,2233
2020-02-28,2326
2020-02-29,1010
2020-03-01,1788
2020-03-02,2017
2020-03-03,2118
2020-03-04,2139
2020-03-05,2201
2020-03-06,2543
2020-03-07,1843
2020-03-08,1864
2020-03-09,1959
2020-03-10,2050
2020-03-11,1908
2020-03-12,2263
2020-03-13,2351
2020-03-14,1904
2020-03-15,1899
2020-03-16,2061
2020-03-17,1233
2020-03-18,1724
2020-03-19,1834
2020-03-20,1993
2020-03-21,1398
2020-03-22,1765
2020-03-23,1464
2020-03-24,1436
2020-03-25,1322
2020-03-26,1585
2020-03-27,1760
2020-03-28,879
2020-03-29,634
2020-03-30,971
2020-03-31,797
2020-04-01,891
2020-04-02,1057
2020-04-03,1059
2020-04-04,828
2020-04-05,691
2020-04-06,1002
2020-04-07,889
2020-04-08,961
2020-04-09,1091
2020-04-10,865
2020-04-11,763
2020-04-12,387
2020-04-13,566
2020-04-14,943
2020-04-15,988
2020-04-16,1094
2020-04-17,1200
2020-04-18,917
2020-04-19,711
2020-04-20,979
2020-04-21,996
2020-04-22,1045
2020-04-23,1171
2020-04-24,1183
2020-04-25,931
2020-04-26,779
2020-04-27,1034
2020-04-28,987
2020-04-29,1136
2020-04-30,1289
2020-05-01,1258
2020-05-02,899
2020-05-03,737
2020-05-04,749
2020-05-05,1211
2020-05-06,1147
2020-05-07,1269
2020-05-08,1364
2020-05-09,967
2020-05-10,943
2020-05-11,1130
2020-05-12,1107
2020-05-13,1195
2020-05-14,1351
2020-05-15,1375
2020-05-16,1078
2020-05-17,1030
2020-05-18,1345
2020-05-19,1446
2020-05-20,1437
2020-05-21,1640
2020-05-22,1433
2020-05-23,1178
2020-05-24,1111
2020-05-25,1449
2020-05-26,1472
2020-05-27,1493
2020-05-28,1702
2020-05-29,1701
2020-05-30,1219
2020-05-31,1039
2020-06-01,1073
2020-06-02,1447
2020-06-03,1480
2020-06-04,1743
2020-06-05,1645
2020-06-06,1292
2020-06-07,1240
2020-06-08,1784
2020-06-09,1598
2020-06-10,1681
2020-06-11,2093
2020-06-12,2177
2020-06-13,1930
2020-06-14,1824
2020-06-15,1886
2020-06-16,1897
2020-06-17,1914
2020-06-18,2049
2020-06-19,2191
2020-06-20,1697
2020-06-21,1769
2020-06-22,1789
2020-06-23,1885
2020-06-24,1953
2020-06-25,2195
2020-06-26,2181
2020-06-27,1807
2020-06-28,1568
2020-06-29,2090
2020-06-30,2163
2020-07-01,2255
2020-07-02,2491
2020-07-03,2788
2020-07-04,2551
2020-07-05,2281
2020-07-06,2514
2020-07-07,2371
2020-07-08,2428
2020-07-09,2546
2020-07-10,3064
2020-07-11,3163
2020-07-12,2641
2020-07-13,2639
2020-07-14,2665
2020-07-15,2640
2020-07-16,2894
2020-07-17,3276
2020-07-18,3288
2020-07-19,3299
2020-07-20,3121
2020-07-21,3033
2020-07-22,2814
2020-07-23,2932
2020-07-24,3260
2020-07-25,3121
2020-07-26,3035
2020-07-27,3059
2020-07-28,3030
2020-07-29,3049
2020-07-30,3072
2020-07-31,3689
2020-08-01,3678
2020-08-02,3448
2020-08-03,3630
2020-08-04,3175
2020-08-05,2948
2020-08-06,3555
2020-08-07,3778
2020-08-08,4006
2020-08-09,3764
2020-08-10,3376
2020-08-11,3367
2020-08-12,3369
2020-08-13,3468
2020-08-14,3640
2020-08-15,3619
2020-08-16,3229
2020-08-17,3310
2020-08-18,3384
2020-08-19,3103
2020-08-20,3010
2020-08-21,3323
2020-08-22,3112
2020-08-23,2908
2020-08-24,2992
2020-08-25,2644
2020-08-26,2892
2020-08-27,2873
2020-08-28,3250
2020-08-29,3166
2020-08-30,2991
2020-08-31,2677
2020-09-01,2695
2020-09-02,2333
2020-09-03,2745
2020-09-04,3141
2020-09-05,2757
2020-09-06,2823
2020-09-07,2527
2020-09-08,2534
2020-09-09,2632
2020-09-10,2803
2020-09-11,3056
2020-09-12,2629
2020-09-13,2453
2020-09-14,2619
2020-09-15,2713
2020-09-16,2701
2020-09-17,2781
2020-09-18,3361
2020-09-19,2833
2020-09-20,2874
2020-09-21,2566
2020-09-22,2446
2020-09-23,2428
2020-09-24,2555
2020-09-25,2826
2020-09-26,2550
2020-09-27,2383
2020-09-28,2192
2020-09-29,2130
2020-09-30,2172
2020-10-01,2282
2020-10-02,2657
2020-10-03,2215
2020-10-04,1745
2020-10-05,2169
2020-10-06,2057
2020-10-07,1982
2020-10-08,2119
2020-10-09,2541
2020-10-10,2011
2020-10-11,2048
2020-10-12,1959
2020-10-13,1895
2020-10-14,2076
2020-10-15,2190
2020-10-16,2406
2020-10-17,2281
2020-10-18,1815
2020-10-19,1913
2020-10-20,2085
2020-10-21,2430
2020-10-22,1639
2020-10-23,1854
2020-10-24,1138
2020-10-25,898
2020-10-26,1046
2020-10-27,1513
2020-10-28,1421
2020-10-29,1517
2020-10-30,1849
2020-10-31,1126
2020-11-01,988
2020-11-02,1639
2020-11-03,1569
2020-11-04,1629
2020-11-05,1741
2020-11-06,1923
2020-11-07,1385
2020-11-08,1114
2020-11-09,1588
2020-11-10,1698
2020-11-11,1607
2020-11-12,1825
2020-11-13,1904
2020-11-14,1301
2020-11-15,1118
2020-11-16,1625
2020-11-17,1584
2020-11-18,1641
2020-11-19,1813
2020-11-20,1939
2020-11-21,1377
2020-11-22,1190
2020-11-23,1584
2020-11-24,1691
2020-11-25,1755
2020-11-26,1847
2020-11-27,2030
2020-11-28,1410
2020-11-29,1141
2020-11-30,1653
2020-12-01,2021
2020-12-02,1859
2020-12-03,2002
2020-12-04,2383
2020-12-05,1997
2020-12-06,1979
2020-12-07,1874
2020-12-08,1993
2020-12-09,1761
2020-12-10,2001
2020-12-11,2355
2020-12-12,1920
2020-12-13,1471
2020-12-14,1971
2020-12-15,1940
2020-12-16,1966
2020-12-17,2126
2020-12-18,2284
2020-12-19,1884
2020-12-20,1737
2020-12-21,2244
2020-12-22,2420
2020-12-23,2532
2020-12-24,1777
2020-12-25,528
2020-12-26,1003
2020-12-27,1237
2020-12-28,1434
2020-12-29,1816
2020-12-30,1938
