,count
2020-01-01,19541
2020-01-02,25501
2020-01-03,27620
2020-01-04,23102
2020-01-05,22395
2020-01-06,22885
2020-01-07,22791
2020-01-08,23415
2020-01-09,24580
2020-01-10,28654
2020-01-11,21256
2020-01-12,22359
2020-01-13,22162
2020-01-14,24604
2020-01-15,25266
2020-01-16,25665
2020-01-17,30093
2020-01-18,22114
2020-01-19,25006
2020-01-20,25400
2020-01-21,24657
2020-01-22,25526
2020-01-23,26485
2020-01-24,31092
2020-01-25,23227
2020-01-26,24507
2020-01-27,24983
2020-01-28,24612
2020-01-29,25362
2020-01-30,26581
2020-01-31,31531
2020-02-01,
2020-02-02,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-08,
2020-02-09,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-15,
2020-02-16,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-22,
2020-02-23,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-02-29,
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-21,
2020-03-22,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-28,
2020-03-29,
2020-03-30,
2020-03-31,
2020-04-01,7030
2020-04-02,8393
2020-04-03,10366
2020-04-04,4823
2020-04-05,2930
2020-04-06,7246
2020-04-07,7224
2020-04-08,8872
2020-04-09,6287
2020-04-10,19556
2020-04-11,3791
2020-04-12,1776
2020-04-13,3060
2020-04-14,7010
2020-04-15,7630
2020-04-16,8878
2020-04-17,9615
2020-04-18,4093
2020-04-19,2862
2020-04-20,7074
2020-04-21,7378
2020-04-22,8051
2020-04-23,8023
2020-04-24,8106
2020-04-25,4165
2020-04-26,3061
2020-04-27,7996
2020-04-28,7844
2020-04-29,8411
2020-04-30,8407
2020-05-01,8454
2020-05-02,3986
2020-05-03,2565
2020-05-04,3766
2020-05-05,9544
2020-05-06,9649
2020-05-07,9904
2020-05-08,9732
2020-05-09,5503
2020-05-10,4254
2020-05-11,10236
2020-05-12,10566
2020-05-13,9821
2020-05-14,9442
2020-05-15,11869
2020-05-16,6368
2020-05-17,4236
2020-05-18,12542
2020-05-19,11830
2020-05-20,9920
2020-05-21,17120
2020-05-22,14677
2020-05-23,8245
2020-05-24,7272
2020-05-25,13815
2020-05-26,13421
2020-05-27,14139
2020-05-28,14203
2020-05-29,15965
2020-05-30,8793
2020-05-31,7290
2020-06-01,3808
2020-06-02,9058
2020-06-03,9345
2020-06-04,9895
2020-06-05,6634
2020-06-06,5435
2020-06-07,4328
2020-06-08,9938
2020-06-09,9619
2020-06-10,10143
2020-06-11,11035
2020-06-12,12420
2020-06-13,6983
2020-06-14,5140
2020-06-15,10262
2020-06-16,10314
2020-06-17,11469
2020-06-18,11490
2020-06-19,13826
2020-06-20,8502
2020-06-21,6268
2020-06-22,11243
2020-06-23,11424
2020-06-24,11986
2020-06-25,12752
2020-06-26,15463
2020-06-27,9788
2020-06-28,8634
2020-06-29,14270
2020-06-30,12872
2020-07-01,14916
2020-07-02,15487
2020-07-03,19569
2020-07-04,13578
2020-07-05,12872
2020-07-06,14917
2020-07-07,13914
2020-07-08,15054
2020-07-09,15619
2020-07-10,19522
2020-07-11,12873
2020-07-12,13808
2020-07-13,14611
2020-07-14,14141
2020-07-15,14554
2020-07-16,15544
2020-07-17,19945
2020-07-18,13160
2020-07-19,11477
2020-07-20,13940
2020-07-21,12500
2020-07-22,15113
2020-07-23,12668
2020-07-24,15783
2020-07-25,14631
2020-07-26,14467
2020-07-27,18803
2020-07-28,18478
2020-07-29,20656
2020-07-30,18638
2020-07-31,31037
2020-08-01,22307
2020-08-02,10869
2020-08-03,15285
2020-08-04,7735
2020-08-05,16417
2020-08-06,16868
2020-08-07,21498
2020-08-08,13105
2020-08-09,11069
2020-08-10,16379
2020-08-11,13939
2020-08-12,15101
2020-08-13,14173
2020-08-14,18300
2020-08-15,12367
2020-08-16,14081
2020-08-17,16488
2020-08-18,15227
2020-08-19,15172
2020-08-20,12013
2020-08-21,18632
2020-08-22,13736
2020-08-23,14296
2020-08-24,16358
2020-08-25,14666
2020-08-26,15978
2020-08-27,15627
2020-08-28,20181
2020-08-29,14085
2020-08-30,12660
2020-08-31,13889
2020-09-01,12994
2020-09-02,13713
2020-09-03,14610
2020-09-04,19949
2020-09-05,13425
2020-09-06,13581
2020-09-07,14546
2020-09-08,13871
2020-09-09,14581
2020-09-10,15697
2020-09-11,20607
2020-09-12,12297
2020-09-13,14255
2020-09-14,13614
2020-09-15,13385
2020-09-16,13681
2020-09-17,15167
2020-09-18,19829
2020-09-19,7928
2020-09-20,9744
2020-09-21,11407
2020-09-22,11190
2020-09-23,11860
2020-09-24,13011
2020-09-25,15057
2020-09-26,8657
2020-09-27,8677
2020-09-28,12711
2020-09-29,12504
2020-09-30,12782
2020-10-01,13401
2020-10-02,16255
2020-10-03,8822
2020-10-04,7811
2020-10-05,12900
2020-10-06,13169
2020-10-07,11419
2020-10-08,11500
2020-10-09,12952
2020-10-10,5764
2020-10-11,4838
2020-10-12,11329
2020-10-13,4329
2020-10-14,11244
2020-10-15,11092
2020-10-16,12961
2020-10-17,6132
2020-10-18,7375
2020-10-19,18340
2020-10-20,17416
2020-10-21,19508
2020-10-22,16454
2020-10-23,17145
2020-10-24,8472
2020-10-25,5213
2020-10-26,4952
2020-10-27,11527
2020-10-28,9505
2020-10-29,10610
2020-10-30,11591
2020-10-31,4954
2020-11-01,4299
2020-11-02,10170
2020-11-03,10402
2020-11-04,6618
2020-11-05,17590
2020-11-06,18899
2020-11-07,9706
2020-11-08,8653
2020-11-09,15888
2020-11-10,16017
2020-11-11,17005
2020-11-12,17753
2020-11-13,19208
2020-11-14,10118
2020-11-15,9207
2020-11-16,16538
2020-11-17,16792
2020-11-18,17393
2020-11-19,18231
2020-11-20,19622
2020-11-21,10055
2020-11-22,9754
2020-11-23,17577
2020-11-24,17258
2020-11-25,17857
2020-11-26,18855
2020-11-27,20573
2020-11-28,10222
2020-11-29,10438
2020-11-30,17486
2020-12-01,18943
2020-12-02,19825
2020-12-03,20921
2020-12-04,23747
2020-12-05,14707
2020-12-06,15276
2020-12-07,21043
2020-12-08,20532
2020-12-09,20657
2020-12-10,21609
2020-12-11,24286
2020-12-12,16574
2020-12-13,15440
2020-12-14,21263
2020-12-15,21025
2020-12-16,21639
2020-12-17,23390
2020-12-18,29001
2020-12-19,22464
2020-12-20,22689
2020-12-21,24261
2020-12-22,24411
2020-12-23,25202
2020-12-24,17071
2020-12-25,7984
2020-12-26,15175
2020-12-27,11333
2020-12-28,11659
2020-12-29,12605
2020-12-30,13203
2020-12-31,10423
2021-01-01,6170
2021-01-02,9172
2021-01-03,9528
2021-01-04,14051
2021-01-05,13586
2021-01-06,14053
2021-01-07,14089
2021-01-08,15607
2021-01-09,7516
2021-01-10,6455
2021-01-11,12683
2021-01-12,12618
2021-01-13,12891
2021-01-14,12420
2021-01-15,13955
2021-01-16,6980
2021-01-17,5536
2021-01-18,12947
2021-01-19,12771
2021-01-20,13104
2021-01-21,13645
2021-01-22,14477
2021-01-23,7090
2021-01-24,5707
2021-01-25,13580
2021-01-26,13336
