,count
2020-01-01,2516
2020-01-02,3998
2020-01-03,4423
2020-01-04,3738
2020-01-05,3155
2020-01-06,4328
2020-01-07,4295
2020-01-08,4467
2020-01-09,4690
2020-01-10,4809
2020-01-11,3624
2020-01-12,3681
2020-01-13,4215
2020-01-14,4629
2020-01-15,4822
2020-01-16,4645
2020-01-17,4741
2020-01-18,2864
2020-01-19,1931
2020-01-20,2218
2020-01-21,1055
2020-01-22,1267
2020-01-23,2256
2020-01-24,4767
2020-01-25,3908
2020-01-26,3617
2020-01-27,4455
2020-01-28,4362
2020-01-29,4468
2020-01-30,4392
2020-01-31,4871
2020-02-01,3553
2020-02-02,3624
2020-02-03,4171
2020-02-04,1819
2020-02-05,1403
2020-02-06,1247
2020-02-07,985
2020-02-08,1765
2020-02-09,2834
2020-02-10,4306
2020-02-11,1220
2020-02-12,1373
2020-02-13,1567
2020-02-14,2869
2020-02-15,1830
2020-02-16,779
2020-02-17,957
2020-02-18,995
2020-02-19,3063
2020-02-20,3199
2020-02-21,4895
2020-02-22,4270
2020-02-23,3546
2020-02-24,4729
2020-02-25,4803
2020-02-26,3824
2020-02-27,3287
2020-02-28,3045
2020-02-29,1348
2020-03-01,2781
2020-03-02,1910
2020-03-03,1574
2020-03-04,1411
2020-03-05,994
2020-03-06,1276
2020-03-07,886
2020-03-08,891
2020-03-09,1350
2020-03-10,1882
2020-03-11,2165
2020-03-12,976
2020-03-13,1549
2020-03-14,2711
2020-03-15,1404
2020-03-16,1074
2020-03-17,1713
2020-03-18,2932
2020-03-19,1945
2020-03-20,1538
2020-03-21,2846
2020-03-22,1500
2020-03-23,1034
2020-03-24,1794
2020-03-25,1474
2020-03-26,1250
2020-03-27,798
2020-03-28,873
2020-03-29,399
2020-03-30,562
2020-03-31,716
2020-04-01,686
2020-04-02,703
2020-04-03,680
2020-04-04,727
2020-04-05,751
2020-04-06,676
2020-04-07,720
2020-04-08,551
2020-04-09,559
2020-04-10,516
2020-04-11,401
2020-04-12,264
2020-04-13,353
2020-04-14,523
2020-04-15,539
2020-04-16,568
2020-04-17,565
2020-04-18,433
2020-04-19,325
2020-04-20,574
2020-04-21,550
2020-04-22,578
2020-04-23,630
2020-04-24,595
2020-04-25,477
2020-04-26,355
2020-04-27,930
2020-04-28,595
2020-04-29,626
2020-04-30,793
2020-05-01,622
2020-05-02,478
2020-05-03,371
2020-05-04,417
2020-05-05,674
2020-05-06,654
2020-05-07,650
2020-05-08,843
2020-05-09,516
2020-05-10,436
2020-05-11,663
2020-05-12,660
2020-05-13,698
2020-05-14,790
2020-05-15,683
2020-05-16,550
2020-05-17,495
2020-05-18,739
2020-05-19,710
2020-05-20,753
2020-05-21,756
2020-05-22,780
2020-05-23,626
2020-05-24,540
2020-05-25,765
2020-05-26,758
2020-05-27,772
2020-05-28,784
2020-05-29,839
2020-05-30,678
2020-05-31,626
2020-06-01,603
2020-06-02,903
2020-06-03,794
2020-06-04,861
2020-06-05,807
2020-06-06,673
2020-06-07,669
2020-06-08,895
2020-06-09,870
2020-06-10,887
2020-06-11,900
2020-06-12,887
2020-06-13,819
2020-06-14,768
2020-06-15,864
2020-06-16,922
2020-06-17,859
2020-06-18,894
2020-06-19,1114
2020-06-20,842
2020-06-21,724
2020-06-22,1216
2020-06-23,962
2020-06-24,896
2020-06-25,943
2020-06-26,940
2020-06-27,788
2020-06-28,687
2020-06-29,925
2020-06-30,875
2020-07-01,878
2020-07-02,917
2020-07-03,985
2020-07-04,837
2020-07-05,780
2020-07-06,938
2020-07-07,876
2020-07-08,887
2020-07-09,934
2020-07-10,965
2020-07-11,866
2020-07-12,838
2020-07-13,946
2020-07-14,894
2020-07-15,947
2020-07-16,928
2020-07-17,972
2020-07-18,867
2020-07-19,886
2020-07-20,1013
2020-07-21,929
2020-07-22,747
2020-07-23,928
2020-07-24,970
2020-07-25,875
2020-07-26,858
2020-07-27,911
2020-07-28,952
2020-07-29,936
2020-07-30,972
2020-07-31,966
2020-08-01,860
2020-08-02,820
2020-08-03,858
2020-08-04,976
2020-08-05,958
2020-08-06,1009
2020-08-07,1006
2020-08-08,922
2020-08-09,906
2020-08-10,953
2020-08-11,939
2020-08-12,1006
2020-08-13,3982
2020-08-14,4929
2020-08-15,4295
2020-08-16,3849
2020-08-17,4047
2020-08-18,4331
2020-08-19,4169
2020-08-20,4273
2020-08-21,4596
2020-08-22,4081
2020-08-23,3763
2020-08-24,4458
2020-08-25,4135
2020-08-26,4531
2020-08-27,4269
2020-08-28,4451
2020-08-29,4183
2020-08-30,4003
2020-08-31,4412
2020-09-01,4369
2020-09-02,974
2020-09-03,1061
2020-09-04,4379
2020-09-05,3936
2020-09-06,3844
2020-09-07,4248
2020-09-08,4319
2020-09-09,4519
2020-09-10,4776
2020-09-11,4966
2020-09-12,4115
2020-09-13,4077
2020-09-14,4591
2020-09-15,4558
2020-09-16,4645
2020-09-17,4860
2020-09-18,4978
2020-09-19,4202
2020-09-20,4279
2020-09-21,4578
2020-09-22,4476
2020-09-23,4680
2020-09-24,4596
2020-09-25,4912
2020-09-26,3962
2020-09-27,4085
2020-09-28,4406
2020-09-29,4533
2020-09-30,4399
2020-10-01,4580
2020-10-02,4897
2020-10-03,4150
2020-10-04,3108
2020-10-05,4591
2020-10-06,4709
2020-10-07,4074
2020-10-08,4351
2020-10-09,4377
2020-10-10,3232
2020-10-11,2688
2020-10-12,4102
2020-10-13,4048
2020-10-14,4011
2020-10-15,4328
2020-10-16,4313
2020-10-17,3093
2020-10-18,3090
2020-10-19,3993
2020-10-20,4245
2020-10-21,4406
2020-10-22,3753
2020-10-23,3676
2020-10-24,2237
2020-10-25,1684
2020-10-26,1964
2020-10-27,3389
2020-10-28,3462
2020-10-29,3580
2020-10-30,3693
2020-10-31,2387
2020-11-01,1723
2020-11-02,3526
2020-11-03,3606
2020-11-04,3588
2020-11-05,3931
2020-11-06,3966
2020-11-07,2711
2020-11-08,2047
2020-11-09,3798
2020-11-10,3841
2020-11-11,3781
2020-11-12,4044
2020-11-13,4091
2020-11-14,2669
2020-11-15,1940
2020-11-16,3840
2020-11-17,4210
2020-11-18,3955
2020-11-19,4122
2020-11-20,3990
2020-11-21,2782
2020-11-22,2276
2020-11-23,3877
2020-11-24,4037
2020-11-25,3980
2020-11-26,4027
2020-11-27,4253
2020-11-28,2959
2020-11-29,2412
2020-11-30,4003
2020-12-01,4250
2020-12-02,4296
2020-12-03,4418
2020-12-04,4332
2020-12-05,3432
2020-12-06,2654
2020-12-07,4059
2020-12-08,4318
2020-12-09,4333
2020-12-10,4503
2020-12-11,4547
2020-12-12,3711
2020-12-13,2734
2020-12-14,4494
2020-12-15,4294
2020-12-16,4449
2020-12-17,4909
2020-12-18,4985
2020-12-19,3839
2020-12-20,3526
2020-12-21,4712
2020-12-22,4720
2020-12-23,4604
2020-12-24,3373
2020-12-25,1363
2020-12-26,1862
2020-12-27,2104
2020-12-28,2160
2020-12-29,2969
2020-12-30,3064
2020-12-31,2481
2021-01-01,1517
2021-01-02,1977
2021-01-03,1743
2021-01-04,3084
2021-01-05,3240
2021-01-06,3222
2021-01-07,3212
2021-01-08,3214
2021-01-09,2062
2021-01-10,1616
2021-01-11,2949
2021-01-12,2980
2021-01-13,2897
2021-01-14,3063
2021-01-15,3128
2021-01-16,2184
2021-01-17,1673
2021-01-18,2914
2021-01-19,2778
2021-01-20,3068
2021-01-21,3155
2021-01-22,3088
2021-01-23,2227
2021-01-24,1497
2021-01-25,2920
2021-01-26,2932
