,count
2020-01-01,7874
2020-01-02,13566
2020-01-03,13933
2020-01-04,11582
2020-01-05,10439
2020-01-06,14049
2020-01-07,14247
2020-01-08,14908
2020-01-09,15166
2020-01-10,15990
2020-01-11,12710
2020-01-12,10910
2020-01-13,13326
2020-01-14,15320
2020-01-15,15502
2020-01-16,15557
2020-01-17,17001
2020-01-18,12189
2020-01-19,12838
2020-01-20,9378
2020-01-21,7293
2020-01-22,7766
2020-01-23,7884
2020-01-24,8568
2020-01-25,6276
2020-01-26,5726
2020-01-27,8024
2020-01-28,7874
2020-01-29,8141
2020-01-30,8772
2020-01-31,9236
2020-02-01,6386
2020-02-02,6264
2020-02-03,8169
2020-02-04,8164
2020-02-05,8280
2020-02-06,8500
2020-02-07,9114
2020-02-08,5976
2020-02-09,4932
2020-02-10,7720
2020-02-11,7472
2020-02-12,8324
2020-02-13,8836
2020-02-14,9226
2020-02-15,6146
2020-02-16,5135
2020-02-17,8205
2020-02-18,8315
2020-02-19,11882
2020-02-20,18218
2020-02-21,18973
2020-02-22,13002
2020-02-23,12769
2020-02-24,16797
2020-02-25,16609
2020-02-26,17064
2020-02-27,18082
2020-02-28,18953
2020-02-29,10452
2020-03-01,13468
2020-03-02,16589
2020-03-03,17367
2020-03-04,17694
2020-03-05,17887
2020-03-06,19122
2020-03-07,13596
2020-03-08,12006
2020-03-09,16024
2020-03-10,16176
2020-03-11,16113
2020-03-12,16720
2020-03-13,15028
2020-03-14,8806
2020-03-15,6753
2020-03-16,10695
2020-03-17,5392
2020-03-18,10782
2020-03-19,10645
2020-03-20,11368
2020-03-21,6572
2020-03-22,5687
2020-03-23,9590
2020-03-24,9585
2020-03-25,9577
2020-03-26,9524
2020-03-27,9862
2020-03-28,3970
2020-03-29,2260
2020-03-30,5569
2020-03-31,5367
2020-04-01,5598
2020-04-02,5630
2020-04-03,5811
2020-04-04,3235
2020-04-05,2505
2020-04-06,5753
2020-04-07,5802
2020-04-08,6000
2020-04-09,6062
2020-04-10,4873
2020-04-11,2947
2020-04-12,1816
2020-04-13,2606
2020-04-14,5670
2020-04-15,5967
2020-04-16,6141
2020-04-17,6160
2020-04-18,3475
2020-04-19,2453
2020-04-20,5997
2020-04-21,6370
2020-04-22,6291
2020-04-23,6529
2020-04-24,6674
2020-04-25,3646
2020-04-26,2709
2020-04-27,6403
2020-04-28,6516
2020-04-29,6494
2020-04-30,6552
2020-05-01,6835
2020-05-02,3640
2020-05-03,2465
2020-05-04,3049
2020-05-05,6977
2020-05-06,7298
2020-05-07,7287
2020-05-08,7578
2020-05-09,4334
2020-05-10,3159
2020-05-11,7030
2020-05-12,7324
2020-05-13,7582
2020-05-14,7626
2020-05-15,7997
2020-05-16,4652
2020-05-17,3763
2020-05-18,8605
2020-05-19,8726
2020-05-20,9032
2020-05-21,9308
2020-05-22,9528
2020-05-23,5826
2020-05-24,4656
2020-05-25,9056
2020-05-26,8607
2020-05-27,9719
2020-05-28,9855
2020-05-29,10188
2020-05-30,6101
2020-05-31,4381
2020-06-01,4892
2020-06-02,9831
2020-06-03,9820
2020-06-04,10466
2020-06-05,10576
2020-06-06,6565
2020-06-07,5354
2020-06-08,10569
2020-06-09,10716
2020-06-10,11079
2020-06-11,11250
2020-06-12,11937
2020-06-13,7955
2020-06-14,6550
2020-06-15,11144
2020-06-16,11282
2020-06-17,11862
2020-06-18,12105
2020-06-19,12746
2020-06-20,8672
2020-06-21,7388
2020-06-22,11447
2020-06-23,11641
2020-06-24,11959
2020-06-25,12156
2020-06-26,13147
2020-06-27,9294
2020-06-28,7981
2020-06-29,12806
2020-06-30,12620
2020-07-01,12939
2020-07-02,13358
2020-07-03,14819
2020-07-04,10474
2020-07-05,9352
2020-07-06,12791
2020-07-07,13101
2020-07-08,13237
2020-07-09,13751
2020-07-10,15006
2020-07-11,10889
2020-07-12,9972
2020-07-13,12894
2020-07-14,12856
2020-07-15,13289
2020-07-16,13899
2020-07-17,15183
2020-07-18,11324
2020-07-19,10165
2020-07-20,13584
2020-07-21,13397
2020-07-22,13645
2020-07-23,14360
2020-07-24,15703
2020-07-25,12123
2020-07-26,10887
2020-07-27,13755
2020-07-28,13591
2020-07-29,14017
2020-07-30,14799
2020-07-31,16228
2020-08-01,13225
2020-08-02,10156
2020-08-03,11469
2020-08-04,14020
2020-08-05,13909
2020-08-06,14526
2020-08-07,15958
2020-08-08,12187
2020-08-09,10399
2020-08-10,13993
2020-08-11,13592
2020-08-12,14274
2020-08-13,14682
2020-08-14,16005
2020-08-15,12222
2020-08-16,11207
2020-08-17,14340
2020-08-18,14301
2020-08-19,14267
2020-08-20,13727
2020-08-21,15940
2020-08-22,11991
2020-08-23,10706
2020-08-24,13903
2020-08-25,12809
2020-08-26,14420
2020-08-27,14368
2020-08-28,16131
2020-08-29,11861
2020-08-30,10663
2020-08-31,13707
2020-09-01,13903
2020-09-02,14310
2020-09-03,14496
2020-09-04,16037
2020-09-05,11084
2020-09-06,10356
2020-09-07,13615
2020-09-08,13785
2020-09-09,14364
2020-09-10,14544
2020-09-11,16136
2020-09-12,11448
2020-09-13,10809
2020-09-14,13714
2020-09-15,13901
2020-09-16,14382
2020-09-17,14843
2020-09-18,16490
2020-09-19,11709
2020-09-20,10912
2020-09-21,13963
2020-09-22,14447
2020-09-23,14592
2020-09-24,14701
2020-09-25,16268
2020-09-26,11987
2020-09-27,11452
2020-09-28,13845
2020-09-29,14034
2020-09-30,14592
2020-10-01,14430
2020-10-02,15817
2020-10-03,10789
2020-10-04,9638
2020-10-05,13592
2020-10-06,14096
2020-10-07,12477
2020-10-08,12682
2020-10-09,13558
2020-10-10,7830
2020-10-11,6799
2020-10-12,12157
2020-10-13,12350
2020-10-14,12502
2020-10-15,12943
2020-10-16,13245
2020-10-17,7946
2020-10-18,6566
2020-10-19,12625
2020-10-20,13011
2020-10-21,14002
2020-10-22,10903
2020-10-23,11240
2020-10-24,5408
2020-10-25,3678
2020-10-26,4633
2020-10-27,10212
2020-10-28,10012
2020-10-29,10300
2020-10-30,10884
2020-10-31,5667
2020-11-01,4896
2020-11-02,10898
2020-11-03,11444
2020-11-04,11504
2020-11-05,11916
2020-11-06,12426
2020-11-07,6539
2020-11-08,5403
2020-11-09,11492
2020-11-10,11807
2020-11-11,11819
2020-11-12,12413
2020-11-13,13064
2020-11-14,6926
2020-11-15,5631
2020-11-16,11683
2020-11-17,11824
2020-11-18,11828
2020-11-19,12383
2020-11-20,12473
2020-11-21,7178
2020-11-22,5960
2020-11-23,11794
2020-11-24,11987
2020-11-25,12205
2020-11-26,12468
2020-11-27,13297
2020-11-28,7529
2020-11-29,5684
2020-11-30,12046
2020-12-01,13311
2020-12-02,13560
2020-12-03,14107
2020-12-04,14494
2020-12-05,9535
2020-12-06,8204
2020-12-07,13258
2020-12-08,13491
2020-12-09,13918
2020-12-10,14305
2020-12-11,12642
2020-12-12,10244
2020-12-13,7779
2020-12-14,13840
2020-12-15,14382
2020-12-16,14535
2020-12-17,15136
2020-12-18,16736
2020-12-19,11895
2020-12-20,10730
2020-12-21,14817
2020-12-22,15011
2020-12-23,14402
2020-12-24,9395
2020-12-25,3882
2020-12-26,6686
2020-12-27,5691
2020-12-28,6767
2020-12-29,7898
2020-12-30,8844
2020-12-31,7115
2021-01-01,3301
2021-01-02,4918
2021-01-03,4347
2021-01-04,8365
2021-01-05,8723
2021-01-06,9042
2021-01-07,8623
2021-01-08,9177
2021-01-09,4864
2021-01-10,3838
2021-01-11,8488
2021-01-12,8535
2021-01-13,8760
2021-01-14,8925
2021-01-15,9151
2021-01-16,5094
2021-01-17,3766
2021-01-18,8447
2021-01-19,8881
2021-01-20,8912
2021-01-21,9100
2021-01-22,9598
2021-01-23,5448
2021-01-24,3914
2021-01-25,8789
2021-01-26,9081
