,count
2020-01-01,17584
2020-01-02,28682
2020-01-03,32319
2020-01-04,25755
2020-01-05,23268
2020-01-06,33190
2020-01-07,34168
2020-01-08,35367
2020-01-09,36152
2020-01-10,37630
2020-01-11,24234
2020-01-12,22598
2020-01-13,33300
2020-01-14,35823
2020-01-15,36588
2020-01-16,36698
2020-01-17,39251
2020-01-18,25618
2020-01-19,25729
2020-01-20,36090
2020-01-21,37076
2020-01-22,36976
2020-01-23,38155
2020-01-24,39986
2020-01-25,26832
2020-01-26,25013
2020-01-27,36241
2020-01-28,37169
2020-01-29,37453
2020-01-30,38805
2020-01-31,41202
2020-02-01,28584
2020-02-02,26874
2020-02-03,36267
2020-02-04,36784
2020-02-05,37715
2020-02-06,38838
2020-02-07,40314
2020-02-08,27184
2020-02-09,20994
2020-02-10,36183
2020-02-11,34978
2020-02-12,37178
2020-02-13,38783
2020-02-14,40900
2020-02-15,25193
2020-02-16,23997
2020-02-17,38236
2020-02-18,38536
2020-02-19,38921
2020-02-20,40469
2020-02-21,41390
2020-02-22,27452
2020-02-23,26273
2020-02-24,36846
2020-02-25,37416
2020-02-26,37428
2020-02-27,39089
2020-02-28,40774
2020-02-29,24659
2020-03-01,25496
2020-03-02,37039
2020-03-03,38330
2020-03-04,38523
2020-03-05,39563
2020-03-06,41072
2020-03-07,27737
2020-03-08,25542
2020-03-09,37351
2020-03-10,37028
2020-03-11,36923
2020-03-12,36805
2020-03-13,33756
2020-03-14,19145
2020-03-15,16096
2020-03-16,25613
2020-03-17,14342
2020-03-18,25918
2020-03-19,26071
2020-03-20,26911
2020-03-21,14362
2020-03-22,12324
2020-03-23,23349
2020-03-24,22100
2020-03-25,20194
2020-03-26,19383
2020-03-27,19913
2020-03-28,6929
2020-03-29,4085
2020-03-30,11174
2020-03-31,10448
2020-04-01,10302
2020-04-02,10520
2020-04-03,10663
2020-04-04,5741
2020-04-05,4158
2020-04-06,10542
2020-04-07,10808
2020-04-08,10769
2020-04-09,10383
2020-04-10,8679
2020-04-11,4544
