,count
2020-01-01,33645
2020-01-02,44966
2020-01-03,49493
2020-01-04,44265
2020-01-05,40822
2020-01-06,45689
2020-01-07,47457
2020-01-08,48868
2020-01-09,49879
2020-01-10,50901
2020-01-11,42289
2020-01-12,44228
2020-01-13,44761
2020-01-14,49454
2020-01-15,50185
2020-01-16,49324
2020-01-17,50082
2020-01-18,46432
2020-01-19,43833
2020-01-20,47320
2020-01-21,47354
2020-01-22,50087
2020-01-23,48967
2020-01-24,50587
2020-01-25,48110
2020-01-26,45008
2020-01-27,49564
2020-01-28,50177
2020-01-29,49944
2020-01-30,50394
2020-01-31,50202
2020-02-01,45191
2020-02-02,45628
2020-02-03,48781
2020-02-04,50014
2020-02-05,51560
2020-02-06,51986
2020-02-07,50078
2020-02-08,43877
2020-02-09,32956
2020-02-10,48179
2020-02-11,46883
2020-02-12,51262
2020-02-13,52230
2020-02-14,49546
2020-02-15,39915
2020-02-16,40916
2020-02-17,50345
2020-02-18,51713
2020-02-19,51859
2020-02-20,51094
2020-02-21,52006
2020-02-22,46005
2020-02-23,42813
2020-02-24,48361
2020-02-25,47446
2020-02-26,50509
2020-02-27,51658
2020-02-28,52856
2020-02-29,41706
2020-03-01,43949
2020-03-02,49150
2020-03-03,50188
2020-03-04,51902
2020-03-05,53124
2020-03-06,52108
2020-03-07,46952
2020-03-08,43802
2020-03-09,48321
2020-03-10,48559
2020-03-11,49157
2020-03-12,48177
2020-03-13,45832
2020-03-14,35471
2020-03-15,34405
2020-03-16,37622
2020-03-17,34042
2020-03-18,36767
2020-03-19,37896
2020-03-20,38679
2020-03-21,31544
2020-03-22,34988
2020-03-23,32424
2020-03-24,32835
2020-03-25,30351
2020-03-26,30199
2020-03-27,31993
2020-03-28,9943
2020-03-29,5784
2020-03-30,14523
2020-03-31,13089
2020-04-01,13350
2020-04-02,13402
2020-04-03,14576
2020-04-04,8432
2020-04-05,6402
2020-04-06,13710
2020-04-07,14442
2020-04-08,14020
2020-04-09,13660
2020-04-10,10221
2020-04-11,6204
2020-04-12,3945
2020-04-13,5329
2020-04-14,13781
2020-04-15,14175
2020-04-16,14310
2020-04-17,14267
2020-04-18,7722
2020-04-19,5693
2020-04-20,14650
2020-04-21,14978
2020-04-22,15483
2020-04-23,15825
2020-04-24,15457
2020-04-25,8241
2020-04-26,6067
2020-04-27,15423
2020-04-28,15280
2020-04-29,14966
2020-04-30,15306
2020-05-01,15233
2020-05-02,8003
2020-05-03,5667
2020-05-04,6961
2020-05-05,17627
2020-05-06,18086
2020-05-07,18364
2020-05-08,18461
2020-05-09,10430
2020-05-10,7905
2020-05-11,17867
2020-05-12,19157
2020-05-13,19728
2020-05-14,20071
2020-05-15,20668
2020-05-16,12407
2020-05-17,9775
2020-05-18,25211
2020-05-19,26700
2020-05-20,28264
2020-05-21,28414
2020-05-22,28339
2020-05-23,18125
2020-05-24,14881
2020-05-25,29015
2020-05-26,30013
2020-05-27,31232
2020-05-28,32509
2020-05-29,30946
2020-05-30,19705
2020-05-31,16163
2020-06-01,18632
2020-06-02,34043
2020-06-03,32041
2020-06-04,32974
2020-06-05,33832
2020-06-06,22629
2020-06-07,21169
2020-06-08,39252
2020-06-09,38612
2020-06-10,38599
2020-06-11,38067
2020-06-12,39554
2020-06-13,34279
2020-06-14,35222
2020-06-15,42011
2020-06-16,41027
2020-06-17,41275
2020-06-18,41500
2020-06-19,43705
2020-06-20,40951
2020-06-21,36605
2020-06-22,40530
2020-06-23,42653
2020-06-24,45341
2020-06-25,51322
2020-06-26,48790
2020-06-27,40132
2020-06-28,36451
2020-06-29,46468
2020-06-30,47751
2020-07-01,47895
2020-07-02,51187
2020-07-03,51171
2020-07-04,47036
2020-07-05,46919
2020-07-06,49299
2020-07-07,46309
2020-07-08,48105
2020-07-09,50527
2020-07-10,53226
2020-07-11,50555
2020-07-12,51936
2020-07-13,50096
2020-07-14,44883
2020-07-15,51595
2020-07-16,52382
2020-07-17,54206
2020-07-18,50150
2020-07-19,53090
2020-07-20,52707
2020-07-21,54324
2020-07-22,52268
2020-07-23,51822
2020-07-24,53434
2020-07-25,48549
2020-07-26,50946
2020-07-27,48725
2020-07-28,52250
2020-07-29,52092
2020-07-30,55684
2020-07-31,55648
2020-08-01,49087
2020-08-02,48835
2020-08-03,51036
2020-08-04,52680
2020-08-05,51571
2020-08-06,57243
2020-08-07,53951
2020-08-08,49354
2020-08-09,52559
2020-08-10,49515
2020-08-11,51425
2020-08-12,55044
2020-08-13,53840
2020-08-14,54753
2020-08-15,50895
2020-08-16,46298
2020-08-17,47068
2020-08-18,51989
2020-08-19,48330
2020-08-20,48083
2020-08-21,52987
2020-08-22,47855
2020-08-23,48751
2020-08-24,52235
2020-08-25,46216
2020-08-26,53318
2020-08-27,49421
2020-08-28,46983
2020-08-29,48803
2020-08-30,50334
2020-08-31,48765
2020-09-01,47687
2020-09-02,45864
2020-09-03,49613
2020-09-04,50703
2020-09-05,49225
2020-09-06,49290
2020-09-07,46017
2020-09-08,46232
2020-09-09,50708
2020-09-10,50424
2020-09-11,51293
2020-09-12,48928
2020-09-13,48162
2020-09-14,49116
2020-09-15,51675
2020-09-16,51707
2020-09-17,52305
2020-09-18,54357
2020-09-19,33525
2020-09-20,32158
2020-09-21,42515
2020-09-22,41983
2020-09-23,44419
2020-09-24,43437
2020-09-25,46758
2020-09-26,35252
2020-09-27,33738
2020-09-28,41782
2020-09-29,44414
2020-09-30,43358
2020-10-01,44914
2020-10-02,47939
2020-10-03,35586
2020-10-04,26317
2020-10-05,43953
2020-10-06,45647
2020-10-07,30333
2020-10-08,31470
2020-10-09,35068
2020-10-10,22346
2020-10-11,18118
2020-10-12,34022
2020-10-13,35195
2020-10-14,36379
2020-10-15,37168
2020-10-16,37525
2020-10-17,23030
2020-10-18,19232
2020-10-19,36023
2020-10-20,37689
2020-10-21,41050
2020-10-22,31133
2020-10-23,31295
2020-10-24,14287
2020-10-25,9989
2020-10-26,12096
2020-10-27,30520
2020-10-28,31382
2020-10-29,31643
2020-10-30,32022
2020-10-31,15930
2020-11-01,11895
2020-11-02,31324
2020-11-03,32945
2020-11-04,33823
2020-11-05,33824
2020-11-06,34759
2020-11-07,19258
2020-11-08,14569
2020-11-09,32289
2020-11-10,33574
2020-11-11,33890
2020-11-12,34285
2020-11-13,35806
2020-11-14,20033
2020-11-15,15088
2020-11-16,32560
2020-11-17,33672
2020-11-18,34708
2020-11-19,35691
2020-11-20,35742
2020-11-21,21095
2020-11-22,17303
2020-11-23,34484
2020-11-24,34215
2020-11-25,35924
2020-11-26,36382
2020-11-27,37360
2020-11-28,22579
2020-11-29,17925
2020-11-30,34421
2020-12-01,41552
2020-12-02,43245
2020-12-03,43945
2020-12-04,40698
2020-12-05,31709
2020-12-06,28753
2020-12-07,42295
2020-12-08,43686
2020-12-09,44818
2020-12-10,45133
2020-12-11,41414
2020-12-12,36516
2020-12-13,29535
2020-12-14,44607
2020-12-15,45155
2020-12-16,46488
2020-12-17,47603
2020-12-18,51330
2020-12-19,43323
2020-12-20,42633
2020-12-21,49086
2020-12-22,49069
2020-12-23,42456
2020-12-24,33497
2020-12-25,18515
2020-12-26,25525
2020-12-27,21060
2020-12-28,21222
2020-12-29,26316
2020-12-30,28977
2020-12-31,20811
2021-01-01,10180
2021-01-02,14522
2021-01-03,13071
2021-01-04,25935
2021-01-05,27273
2021-01-06,28717
2021-01-07,26112
2021-01-08,27932
2021-01-09,14273
2021-01-10,11382
2021-01-11,24777
2021-01-12,24483
2021-01-13,24847
2021-01-14,25497
2021-01-15,25937
2021-01-16,14886
2021-01-17,10663
2021-01-18,25153
2021-01-19,24616
2021-01-20,25041
2021-01-21,25872
2021-01-22,26735
2021-01-23,14826
2021-01-24,9515
2021-01-25,25534
2021-01-26,26103
