,count
2020-01-01,10974
2020-01-02,15953
2020-01-03,17066
2020-01-04,13603
2020-01-05,13058
2020-01-06,15864
2020-01-07,16341
2020-01-08,17182
2020-01-09,17759
2020-01-10,19354
2020-01-11,12900
2020-01-12,13715
2020-01-13,17744
2020-01-14,16147
2020-01-15,18469
2020-01-16,18674
2020-01-17,20363
2020-01-18,13512
2020-01-19,14166
2020-01-20,17999
2020-01-21,17934
2020-01-22,18454
2020-01-23,19012
2020-01-24,20857
2020-01-25,14719
2020-01-26,15205
2020-01-27,17779
2020-01-28,18063
2020-01-29,18924
2020-01-30,19433
2020-01-31,21046
2020-02-01,15214
2020-02-02,14452
2020-02-03,17471
2020-02-04,18240
2020-02-05,18543
2020-02-06,19162
2020-02-07,21210
2020-02-08,14143
2020-02-09,12629
2020-02-10,17504
2020-02-11,17398
2020-02-12,18749
2020-02-13,19309
2020-02-14,21210
2020-02-15,12304
2020-02-16,13443
2020-02-17,19005
2020-02-18,19340
2020-02-19,20402
2020-02-20,21116
2020-02-21,22452
2020-02-22,14898
2020-02-23,16296
2020-02-24,18199
2020-02-25,18167
2020-02-26,18478
2020-02-27,19380
2020-02-28,21269
2020-02-29,12018
2020-03-01,14716
2020-03-02,18094
2020-03-03,18827
2020-03-04,19021
2020-03-05,19658
2020-03-06,21704
2020-03-07,13728
2020-03-08,14973
2020-03-09,17562
2020-03-10,17523
2020-03-11,17450
2020-03-12,18020
2020-03-13,16535
2020-03-14,9524
2020-03-15,8316
2020-03-16,11317
2020-03-17,6526
2020-03-18,11231
2020-03-19,11009
2020-03-20,11341
2020-03-21,6654
2020-03-22,5836
2020-03-23,9926
2020-03-24,9631
2020-03-25,9267
2020-03-26,9491
2020-03-27,10416
2020-03-28,3549
2020-03-29,2086
2020-03-30,5696
2020-03-31,5218
2020-04-01,5520
2020-04-02,5479
2020-04-03,5509
2020-04-04,2618
2020-04-05,1854
2020-04-06,5387
2020-04-07,5484
2020-04-08,5758
2020-04-09,5745
2020-04-10,4466
2020-04-11,2011
2020-04-12,1133
2020-04-13,1881
2020-04-14,5608
2020-04-15,5745
2020-04-16,5687
2020-04-17,5693
2020-04-18,2512
2020-04-19,1785
2020-04-20,5497
2020-04-21,5743
2020-04-22,5906
2020-04-23,6196
2020-04-24,5882
2020-04-25,2645
2020-04-26,1960
2020-04-27,5862
2020-04-28,5983
2020-04-29,6257
2020-04-30,6249
2020-05-01,5922
2020-05-02,2626
2020-05-03,1593
2020-05-04,2416
2020-05-05,6586
2020-05-06,6694
2020-05-07,7138
2020-05-08,7040
2020-05-09,3160
2020-05-10,2576
2020-05-11,6707
2020-05-12,7162
2020-05-13,7166
2020-05-14,7510
2020-05-15,7319
2020-05-16,3680
2020-05-17,3024
2020-05-18,8344
2020-05-19,8663
2020-05-20,8978
2020-05-21,9216
2020-05-22,9253
2020-05-23,4754
2020-05-24,3970
2020-05-25,9271
2020-05-26,9600
2020-05-27,9692
2020-05-28,10150
2020-05-29,10119
2020-05-30,5066
2020-05-31,3667
2020-06-01,4699
2020-06-02,10239
2020-06-03,10476
2020-06-04,10590
2020-06-05,11114
2020-06-06,5729
2020-06-07,5151
2020-06-08,11079
2020-06-09,11237
2020-06-10,11660
2020-06-11,11780
2020-06-12,12569
2020-06-13,7865
2020-06-14,7194
2020-06-15,11868
2020-06-16,12098
2020-06-17,12407
2020-06-18,12662
2020-06-19,13751
2020-06-20,8549
2020-06-21,8579
2020-06-22,12206
2020-06-23,12465
2020-06-24,13150
2020-06-25,13826
2020-06-26,14873
2020-06-27,10264
2020-06-28,9767
2020-06-29,14666
2020-06-30,14108
2020-07-01,15149
2020-07-02,16087
2020-07-03,17510
2020-07-04,6465
2020-07-05,12883
2020-07-06,15456
2020-07-07,14721
