,count
2020-01-01,2649
2020-01-02,2946
2020-01-03,3301
2020-01-04,2770
2020-01-05,2257
2020-01-06,2466
2020-01-07,2442
2020-01-08,2589
2020-01-09,2542
2020-01-10,2679
2020-01-11,2607
2020-01-12,2356
2020-01-13,1659
2020-01-14,2493
2020-01-15,2473
2020-01-16,2526
2020-01-17,3113
2020-01-18,2850
2020-01-19,2257
2020-01-20,2513
2020-01-21,2586
2020-01-22,2559
2020-01-23,2674
2020-01-24,2820
2020-01-25,2452
2020-01-26,2291
2020-01-27,2328
2020-01-28,2331
2020-01-29,2514
2020-01-30,2815
2020-01-31,3160
2020-02-01,2649
2020-02-02,2360
2020-02-03,2525
2020-02-04,2648
2020-02-05,2665
2020-02-06,3038
2020-02-07,2945
2020-02-08,2519
2020-02-09,1926
2020-02-10,2368
2020-02-11,2514
2020-02-12,2535
2020-02-13,2812
2020-02-14,3194
2020-02-15,2240
2020-02-16,2066
2020-02-17,2784
2020-02-18,2907
2020-02-19,2607
2020-02-20,2955
2020-02-21,2944
2020-02-22,2769
2020-02-23,2456
2020-02-24,2430
2020-02-25,2567
2020-02-26,2653
2020-02-27,2969
2020-02-28,2958
2020-02-29,1827
2020-03-01,2439
2020-03-02,2633
2020-03-03,2883
2020-03-04,2907
2020-03-05,2889
2020-03-06,3238
2020-03-07,2748
2020-03-08,2601
2020-03-09,2556
2020-03-10,2825
2020-03-11,2724
2020-03-12,2795
2020-03-13,3032
2020-03-14,2453
2020-03-15,2524
2020-03-16,2369
2020-03-17,1476
2020-03-18,2344
2020-03-19,2463
2020-03-20,2728
2020-03-21,1803
2020-03-22,3248
2020-03-23,1831
2020-03-24,1974
2020-03-25,1724
2020-03-26,1920
2020-03-27,2475
2020-03-28,1141
2020-03-29,671
2020-03-30,1018
2020-03-31,981
2020-04-01,1089
2020-04-02,1188
2020-04-03,1260
2020-04-04,928
2020-04-05,672
2020-04-06,1083
2020-04-07,1261
2020-04-08,1219
2020-04-09,1271
2020-04-10,969
2020-04-11,846
2020-04-12,472
2020-04-13,598
2020-04-14,1170
2020-04-15,1169
2020-04-16,1214
2020-04-17,1249
2020-04-18,955
2020-04-19,674
