,count
2020-01-01,21102
2020-01-02,36154
2020-01-03,40565
2020-01-04,32331
2020-01-05,26378
2020-01-06,40315
2020-01-07,41637
2020-01-08,42450
2020-01-09,42516
2020-01-10,43894
2020-01-11,33356
2020-01-12,30130
2020-01-13,38585
2020-01-14,43977
2020-01-15,45032
2020-01-16,44567
2020-01-17,46249
2020-01-18,35545
2020-01-19,29469
2020-01-20,43051
2020-01-21,45648
2020-01-22,46705
2020-01-23,45178
2020-01-24,45913
2020-01-25,36507
2020-01-26,30320
2020-01-27,41990
2020-01-28,43536
2020-01-29,44698
2020-01-30,45665
2020-01-31,45917
2020-02-01,36098
2020-02-02,29342
2020-02-03,42222
2020-02-04,43990
2020-02-05,44471
2020-02-06,44827
2020-02-07,45758
2020-02-08,33052
2020-02-09,25518
2020-02-10,41954
2020-02-11,44000
2020-02-12,45476
2020-02-13,46455
2020-02-14,46119
2020-02-15,30589
2020-02-16,25482
2020-02-17,42100
2020-02-18,43703
2020-02-19,44156
2020-02-20,46608
2020-02-21,45932
2020-02-22,34205
2020-02-23,29612
2020-02-24,42460
2020-02-25,43266
2020-02-26,44910
2020-02-27,44643
2020-02-28,47080
2020-02-29,32980
2020-03-01,30752
2020-03-02,42796
2020-03-03,45060
2020-03-04,45122
2020-03-05,45225
2020-03-06,45497
2020-03-07,34449
2020-03-08,29773
2020-03-09,41768
2020-03-10,42950
2020-03-11,42533
2020-03-12,41874
2020-03-13,36439
2020-03-14,24644
2020-03-15,20703
2020-03-16,29126
2020-03-17,16688
2020-03-18,29986
2020-03-19,30781
2020-03-20,31182
2020-03-21,20572
2020-03-22,20029
2020-03-23,27442
2020-03-24,28443
2020-03-25,26580
2020-03-26,27474
2020-03-27,28759
2020-03-28,10215
2020-03-29,6002
2020-03-30,15979
2020-03-31,15111
2020-04-01,15418
2020-04-02,15733
2020-04-03,16397
2020-04-04,9603
2020-04-05,6449
2020-04-06,15832
2020-04-07,16416
2020-04-08,15991
2020-04-09,15530
2020-04-10,13109
2020-04-11,7714
2020-04-12,4913
2020-04-13,6000
2020-04-14,15411
2020-04-15,15798
2020-04-16,15970
2020-04-17,16239
2020-04-18,8680
2020-04-19,6337
2020-04-20,15697
2020-04-21,16874
2020-04-22,17071
2020-04-23,17007
2020-04-24,16998
2020-04-25,9196
2020-04-26,6704
2020-04-27,16543
2020-04-28,16966
2020-04-29,17195
2020-04-30,17951
2020-05-01,17691
2020-05-02,10022
2020-05-03,6837
2020-05-04,7502
2020-05-05,18316
2020-05-06,18964
2020-05-07,19251
2020-05-08,19672
2020-05-09,11153
2020-05-10,8672
2020-05-11,19087
2020-05-12,19973
2020-05-13,19999
2020-05-14,20582
2020-05-15,21062
2020-05-16,12314
2020-05-17,9334
2020-05-18,24273
2020-05-19,25541
2020-05-20,26143
2020-05-21,26325
2020-05-22,26925
2020-05-23,17901
2020-05-24,13734
2020-05-25,27421
2020-05-26,28232
2020-05-27,28782
2020-05-28,30087
2020-05-29,30254
2020-05-30,19340
2020-05-31,14889
2020-06-01,16622
2020-06-02,29755
2020-06-03,29954
2020-06-04,30418
2020-06-05,30713
2020-06-06,21266
2020-06-07,17009
2020-06-08,33601
2020-06-09,34068
2020-06-10,32241
2020-06-11,34185
2020-06-12,35043
2020-06-13,27192
2020-06-14,22838
2020-06-15,35119
2020-06-16,36795
2020-06-17,36764
2020-06-18,37778
2020-06-19,38567
2020-06-20,27864
2020-06-21,25325
2020-06-22,34040
2020-06-23,35685
2020-06-24,37805
2020-06-25,37183
2020-06-26,38193
2020-06-27,29265
2020-06-28,24606
2020-06-29,36712
2020-06-30,37276
2020-07-01,38684
2020-07-02,39485
2020-07-03,38988
2020-07-04,30482
2020-07-05,25716
2020-07-06,37503
2020-07-07,38127
2020-07-08,38363
2020-07-09,40095
2020-07-10,40380
2020-07-11,31662
2020-07-12,26422
2020-07-13,36500
2020-07-14,38573
2020-07-15,39457
2020-07-16,40908
2020-07-17,40416
2020-07-18,31147
2020-07-19,28055
2020-07-20,38563
2020-07-21,41851
2020-07-22,42084
2020-07-23,43284
2020-07-24,40714
2020-07-25,31664
2020-07-26,26485
2020-07-27,37957
2020-07-28,39316
2020-07-29,39801
2020-07-30,40713
2020-07-31,40459
2020-08-01,32046
2020-08-02,26428
2020-08-03,26882
2020-08-04,34831
2020-08-05,40583
2020-08-06,41327
2020-08-07,40612
