,count
2020-01-01,6444
2020-01-02,9638
2020-01-03,10283
2020-01-04,8595
2020-01-05,7274
2020-01-06,9969
2020-01-07,9981
2020-01-08,10462
2020-01-09,11062
2020-01-10,11481
2020-01-11,8373
2020-01-12,7913
2020-01-13,9486
2020-01-14,10932
2020-01-15,10851
2020-01-16,11274
2020-01-17,12010
2020-01-18,9526
2020-01-19,7951
2020-01-20,12129
2020-01-21,11989
2020-01-22,12431
2020-01-23,12580
2020-01-24,13615
2020-01-25,9834
2020-01-26,9371
2020-01-27,12258
2020-01-28,12095
2020-01-29,12543
2020-01-30,12981
2020-01-31,13788
2020-02-01,9827
2020-02-02,9481
2020-02-03,11921
2020-02-04,12207
2020-02-05,12595
2020-02-06,13020
2020-02-07,14032
2020-02-08,8876
2020-02-09,6783
2020-02-10,11708
2020-02-11,11671
2020-02-12,12440
2020-02-13,12872
2020-02-14,13627
2020-02-15,8255
2020-02-16,7631
2020-02-17,12596
2020-02-18,13211
2020-02-19,13033
2020-02-20,13479
2020-02-21,13676
2020-02-22,10075
2020-02-23,9165
2020-02-24,12230
2020-02-25,12392
2020-02-26,12263
2020-02-27,12884
2020-02-28,13587
2020-02-29,8536
2020-03-01,9022
2020-03-02,12516
2020-03-03,13029
2020-03-04,12841
2020-03-05,13092
2020-03-06,13967
2020-03-07,9781
2020-03-08,9292
2020-03-09,12260
2020-03-10,12018
2020-03-11,12346
2020-03-12,12547
2020-03-13,11026
2020-03-14,7498
2020-03-15,6249
2020-03-16,9473
2020-03-17,5036
2020-03-18,8306
2020-03-19,8769
2020-03-20,9177
2020-03-21,6220
2020-03-22,5912
2020-03-23,7988
2020-03-24,7613
2020-03-25,7181
2020-03-26,7871
2020-03-27,8496
2020-03-28,3430
2020-03-29,1846
2020-03-30,4410
2020-03-31,4049
2020-04-01,4178
2020-04-02,4466
2020-04-03,4600
2020-04-04,2959
2020-04-05,1968
2020-04-06,4303
2020-04-07,4511
2020-04-08,4385
2020-04-09,4775
2020-04-10,4036
2020-04-11,2862
2020-04-12,1351
2020-04-13,2041
2020-04-14,4555
2020-04-15,4581
2020-04-16,4693
2020-04-17,4980
2020-04-18,3008
2020-04-19,1976
2020-04-20,4531
2020-04-21,4576
2020-04-22,4662
2020-04-23,4985
2020-04-24,5073
2020-04-25,3165
2020-04-26,2154
2020-04-27,4635
2020-04-28,4748
2020-04-29,4837
2020-04-30,5286
2020-05-01,5278
2020-05-02,3311
2020-05-03,2115
2020-05-04,2529
2020-05-05,5158
2020-05-06,5317
2020-05-07,5362
2020-05-08,5913
2020-05-09,3786
2020-05-10,2688
2020-05-11,5335
2020-05-12,5508
2020-05-13,5696
2020-05-14,6024
2020-05-15,6047
2020-05-16,4016
2020-05-17,3041
2020-05-18,6662
2020-05-19,6887
2020-05-20,7016
2020-05-21,7281
2020-05-22,7438
2020-05-23,5057
2020-05-24,3759
2020-05-25,6903
2020-05-26,7131
2020-05-27,7285
2020-05-28,7682
2020-05-29,7835
2020-05-30,5442
2020-05-31,3658
2020-06-01,4141
2020-06-02,7629
2020-06-03,7560
2020-06-04,8100
2020-06-05,8511
2020-06-06,5815
2020-06-07,4728
2020-06-08,8548
2020-06-09,8391
2020-06-10,8291
2020-06-11,8682
2020-06-12,9050
2020-06-13,7276
2020-06-14,5850
2020-06-15,8437
2020-06-16,8218
2020-06-17,8766
2020-06-18,9008
2020-06-19,9556
2020-06-20,7395
2020-06-21,6383
2020-06-22,8420
2020-06-23,8692
2020-06-24,9102
2020-06-25,9925
2020-06-26,10081
2020-06-27,7965
2020-06-28,7126
2020-06-29,9817
2020-06-30,9713
2020-07-01,9825
2020-07-02,10691
2020-07-03,11347
2020-07-04,9765
2020-07-05,9001
2020-07-06,10404
2020-07-07,10101
2020-07-08,10151
2020-07-09,10820
2020-07-10,11875
2020-07-11,10585
2020-07-12,9894
2020-07-13,10391
2020-07-14,10623
2020-07-15,12210
2020-07-16,12642
2020-07-17,13744
2020-07-18,10641
2020-07-19,10825
2020-07-20,11519
