,count
2020-01-01,11223
2020-01-02,17540
2020-01-03,18814
2020-01-04,16228
2020-01-05,14049
2020-01-06,17466
2020-01-07,18175
2020-01-08,18766
2020-01-09,19090
2020-01-10,20893
2020-01-11,15595
2020-01-12,14942
2020-01-13,17128
2020-01-14,19370
2020-01-15,19905
2020-01-16,19289
2020-01-17,21356
2020-01-18,16443
2020-01-19,15797
2020-01-20,19473
2020-01-21,19382
2020-01-22,20150
2020-01-23,19958
2020-01-24,21834
2020-01-25,17367
2020-01-26,16055
2020-01-27,19722
2020-01-28,19747
2020-01-29,20061
2020-01-30,20405
2020-01-31,22000
2020-02-01,17017
2020-02-02,16421
2020-02-03,19481
2020-02-04,20049
2020-02-05,20063
2020-02-06,20663
2020-02-07,21926
2020-02-08,17126
2020-02-09,12881
2020-02-10,19052
2020-02-11,19078
2020-02-12,20054
2020-02-13,20537
2020-02-14,22003
2020-02-15,14787
2020-02-16,15545
2020-02-17,20030
2020-02-18,20755
2020-02-19,21184
2020-02-20,22077
2020-02-21,22745
2020-02-22,18860
2020-02-23,16158
2020-02-24,19941
2020-02-25,19908
2020-02-26,20276
2020-02-27,21015
2020-02-28,22344
2020-02-29,16018
2020-03-01,16186
2020-03-02,20016
2020-03-03,20156
2020-03-04,20654
2020-03-05,21133
2020-03-06,22712
2020-03-07,17159
2020-03-08,16840
2020-03-09,19953
2020-03-10,19644
2020-03-11,19720
2020-03-12,20026
2020-03-13,19236
2020-03-14,13371
2020-03-15,10865
2020-03-16,14534
2020-03-17,8976
2020-03-18,14064
2020-03-19,14307
2020-03-20,14839
2020-03-21,10153
2020-03-22,9882
2020-03-23,13397
2020-03-24,13174
2020-03-25,12322
2020-03-26,12304
2020-03-27,13572
2020-03-28,4848
2020-03-29,2653
2020-03-30,6286
2020-03-31,5956
2020-04-01,5984
2020-04-02,6195
2020-04-03,6477
2020-04-04,3869
2020-04-05,2784
2020-04-06,6152
2020-04-07,6485
2020-04-08,6326
2020-04-09,6030
2020-04-10,4757
2020-04-11,2752
2020-04-12,1662
2020-04-13,2430
2020-04-14,6259
2020-04-15,6253
2020-04-16,6525
2020-04-17,6573
2020-04-18,3291
2020-04-19,2438
2020-04-20,6434
2020-04-21,6575
2020-04-22,6997
2020-04-23,7075
2020-04-24,6977
2020-04-25,3678
2020-04-26,2691
2020-04-27,6899
2020-04-28,6875
2020-04-29,6685
2020-04-30,7092
2020-05-01,6935
2020-05-02,3504
2020-05-03,2349
2020-05-04,3139
2020-05-05,8007
2020-05-06,7938
2020-05-07,8055
2020-05-08,8301
2020-05-09,4513
2020-05-10,3295
2020-05-11,7693
2020-05-12,8311
2020-05-13,8554
2020-05-14,8826
2020-05-15,9176
2020-05-16,5302
2020-05-17,4188
2020-05-18,10726
2020-05-19,11397
2020-05-20,11672
2020-05-21,11919
2020-05-22,12006
2020-05-23,7438
2020-05-24,5572
2020-05-25,12208
2020-05-26,12398
2020-05-27,12741
2020-05-28,12979
2020-05-29,12781
2020-05-30,7229
2020-05-31,5066
2020-06-01,6100
2020-06-02,13385
2020-06-03,13370
2020-06-04,13760
2020-06-05,14238
2020-06-06,8867
2020-06-07,7396
2020-06-08,14423
2020-06-09,14859
2020-06-10,15143
2020-06-11,15341
2020-06-12,15763
2020-06-13,11709
2020-06-14,9522
2020-06-15,15163
2020-06-16,15603
2020-06-17,16136
2020-06-18,15964
2020-06-19,17050
2020-06-20,13709
2020-06-21,11558
2020-06-22,15493
2020-06-23,16302
2020-06-24,16914
2020-06-25,17703
2020-06-26,18914
2020-06-27,14754
2020-06-28,12974
2020-06-29,20100
2020-06-30,19721
2020-07-01,20698
2020-07-02,21396
2020-07-03,24176
2020-07-04,19877
2020-07-05,19773
2020-07-06,21023
2020-07-07,20456
2020-07-08,20583
2020-07-09,21440
2020-07-10,25375
2020-07-11,21242
2020-07-12,21100
2020-07-13,21341
2020-07-14,20503
2020-07-15,21486
2020-07-16,22280
2020-07-17,26087
2020-07-18,21236
2020-07-19,21726
2020-07-20,22248
2020-07-21,21701
2020-07-22,22454
2020-07-23,22719
2020-07-24,25657
2020-07-25,21223
2020-07-26,20449
2020-07-27,21677
2020-07-28,21812
2020-07-29,22513
2020-07-30,23881
2020-07-31,26826
2020-08-01,23147
2020-08-02,19352
2020-08-03,22432
2020-08-04,23245
2020-08-05,22209
2020-08-06,23550
2020-08-07,25919
2020-08-08,22900
2020-08-09,22350
2020-08-10,22595
2020-08-11,21903
2020-08-12,23158
2020-08-13,23188
2020-08-14,26117
2020-08-15,21903
2020-08-16,20881
2020-08-17,21417
2020-08-18,21613
2020-08-19,21363
2020-08-20,20600
2020-08-21,24586
2020-08-22,20557
2020-08-23,20035
2020-08-24,21485
2020-08-25,18250
2020-08-26,21638
2020-08-27,20406
2020-08-28,23061
2020-08-29,20042
2020-08-30,19740
2020-08-31,19931
2020-09-01,19222
2020-09-02,19003
2020-09-03,19987
2020-09-04,23856
2020-09-05,19207
2020-09-06,18903
2020-09-07,19159
2020-09-08,19070
2020-09-09,19815
2020-09-10,20144
2020-09-11,23395
2020-09-12,18886
2020-09-13,19221
2020-09-14,19621
2020-09-15,19673
2020-09-16,19873
2020-09-17,20596
2020-09-18,23850
2020-09-19,15860
2020-09-20,15628
2020-09-21,18235
2020-09-22,17928
2020-09-23,18426
2020-09-24,18403
2020-09-25,20159
2020-09-26,15262
2020-09-27,13718
2020-09-28,17504
2020-09-29,17917
2020-09-30,17872
2020-10-01,18492
2020-10-02,19920
2020-10-03,14479
2020-10-04,11570
2020-10-05,17952
2020-10-06,18711
2020-10-07,15544
2020-10-08,15445
2020-10-09,16423
2020-10-10,9765
2020-10-11,7629
2020-10-12,15106
2020-10-13,14982
2020-10-14,15568
2020-10-15,15965
2020-10-16,16264
2020-10-17,9548
2020-10-18,7609
2020-10-19,15990
2020-10-20,16123
2020-10-21,17984
2020-10-22,13574
2020-10-23,13963
2020-10-24,6685
2020-10-25,4541
2020-10-26,5595
2020-10-27,13149
2020-10-28,13301
2020-10-29,13422
2020-10-30,13916
2020-10-31,7149
2020-11-01,5565
2020-11-02,14061
2020-11-03,14430
2020-11-04,14879
2020-11-05,15141
2020-11-06,15453
2020-11-07,8841
2020-11-08,6393
2020-11-09,14360
2020-11-10,15063
2020-11-11,14640
2020-11-12,15382
2020-11-13,16158
2020-11-14,8771
2020-11-15,7018
2020-11-16,14803
2020-11-17,14973
2020-11-18,15587
2020-11-19,15439
2020-11-20,16602
2020-11-21,9406
2020-11-22,7559
2020-11-23,15171
2020-11-24,15279
2020-11-25,15757
2020-11-26,15668
2020-11-27,16501
2020-11-28,9928
2020-11-29,7835
2020-11-30,15638
2020-12-01,16920
2020-12-02,17430
2020-12-03,17532
2020-12-04,18739
2020-12-05,13028
2020-12-06,11143
2020-12-07,17275
2020-12-08,17664
2020-12-09,17751
2020-12-10,18051
2020-12-11,19475
2020-12-12,14205
2020-12-13,11458
2020-12-14,17800
2020-12-15,18192
2020-12-16,18558
2020-12-17,19283
2020-12-18,21814
2020-12-19,17673
2020-12-20,16143
2020-12-21,19584
2020-12-22,14530
2020-12-23,17910
2020-12-24,12464
2020-12-25,6202
2020-12-26,9745
2020-12-27,7593
2020-12-28,8034
2020-12-29,9446
2020-12-30,10312
2020-12-31,8187
2021-01-01,3989
2021-01-02,6165
2021-01-03,5356
2021-01-04,11102
2021-01-05,11418
2021-01-06,11798
2021-01-07,11460
2021-01-08,12045
2021-01-09,6023
2021-01-10,4558
2021-01-11,10757
2021-01-12,10090
2021-01-13,10317
2021-01-14,10661
2021-01-15,11134
2021-01-16,6385
2021-01-17,4497
2021-01-18,10838
2021-01-19,10619
2021-01-20,10439
2021-01-21,11039
2021-01-22,11379
2021-01-23,6327
2021-01-24,3991
2021-01-25,10791
2021-01-26,10847
