,count
2020-01-01,1530
2020-01-02,2383
2020-01-03,2626
2020-01-04,2165
2020-01-05,1808
2020-01-06,2670
2020-01-07,2718
2020-01-08,2785
2020-01-09,2829
2020-01-10,3085
2020-01-11,2338
2020-01-12,1988
2020-01-13,2540
2020-01-14,2772
2020-01-15,2892
2020-01-16,2917
2020-01-17,3008
2020-01-18,2391
2020-01-19,2039
2020-01-20,2697
2020-01-21,2777
2020-01-22,2851
2020-01-23,2806
2020-01-24,3068
2020-01-25,2451
2020-01-26,2090
2020-01-27,2620
2020-01-28,2689
2020-01-29,2834
2020-01-30,2924
2020-01-31,3130
2020-02-01,2488
2020-02-02,2078
2020-02-03,2691
2020-02-04,2796
2020-02-05,2935
2020-02-06,2901
2020-02-07,3040
2020-02-08,2486
2020-02-09,1817
2020-02-10,2718
2020-02-11,2642
2020-02-12,2769
2020-02-13,2921
2020-02-14,3075
2020-02-15,2421
2020-02-16,1946
2020-02-17,2680
2020-02-18,2837
2020-02-19,2897
2020-02-20,2809
2020-02-21,2802
2020-02-22,2518
2020-02-23,2377
2020-02-24,2762
2020-02-25,3291
2020-02-26,2959
2020-02-27,2825
2020-02-28,3147
2020-02-29,2105
2020-03-01,2093
2020-03-02,2729
2020-03-03,2892
2020-03-04,3047
2020-03-05,2948
2020-03-06,3292
2020-03-07,2573
2020-03-08,2083
2020-03-09,2745
2020-03-10,2858
2020-03-11,2861
2020-03-12,2852
2020-03-13,2562
2020-03-14,2028
2020-03-15,1657
2020-03-16,2149
2020-03-17,1324
2020-03-18,2073
2020-03-19,2093
2020-03-20,2274
2020-03-21,1765
2020-03-22,1637
2020-03-23,1997
2020-03-24,2082
2020-03-25,1950
2020-03-26,1991
2020-03-27,2129
2020-03-28,1171
2020-03-29,733
2020-03-30,1243
2020-03-31,1250
2020-04-01,1195
2020-04-02,1244
2020-04-03,1482
2020-04-04,1150
2020-04-05,843
2020-04-06,1291
2020-04-07,1410
2020-04-08,1440
2020-04-09,1480
2020-04-10,1274
2020-04-11,1235
