,count
2020-01-01,17288
2020-01-02,28022
2020-01-03,28635
2020-01-04,24929
2020-01-05,22159
2020-01-06,27343
2020-01-07,28232
2020-01-08,28697
2020-01-09,29858
2020-01-10,31371
2020-01-11,24438
2020-01-12,22022
2020-01-13,25832
2020-01-14,29447
2020-01-15,29835
2020-01-16,30455
2020-01-17,32753
2020-01-18,24901
2020-01-19,25114
2020-01-20,29451
2020-01-21,29678
2020-01-22,30241
2020-01-23,30894
2020-01-24,33608
2020-01-25,25591
2020-01-26,24246
2020-01-27,29165
2020-01-28,28961
2020-01-29,29670
2020-01-30,31374
2020-01-31,33572
2020-02-01,24154
2020-02-02,25379
2020-02-03,29012
2020-02-04,29572
2020-02-05,30142
2020-02-06,30936
2020-02-07,34006
2020-02-08,22940
2020-02-09,19677
2020-02-10,21120
2020-02-11,23182
2020-02-12,30251
2020-02-13,32326
2020-02-14,34311
2020-02-15,23330
2020-02-16,20861
2020-02-17,30467
2020-02-18,31142
2020-02-19,31246
2020-02-20,33301
2020-02-21,34330
2020-02-22,24895
2020-02-23,24315
2020-02-24,30103
2020-02-25,29630
2020-02-26,30493
2020-02-27,32149
2020-02-28,33649
2020-02-29,19852
2020-03-01,25468
2020-03-02,30882
2020-03-03,31521
2020-03-04,31278
2020-03-05,31582
2020-03-06,34128
2020-03-07,25463
2020-03-08,23326
2020-03-09,28873
2020-03-10,29008
2020-03-11,29108
2020-03-12,29969
2020-03-13,27212
2020-03-14,17444
2020-03-15,13742
2020-03-16,20278
2020-03-17,11698
2020-03-18,20978
2020-03-19,20857
2020-03-20,21406
2020-03-21,13018
2020-03-22,11141
2020-03-23,18397
2020-03-24,17530
2020-03-25,16476
2020-03-26,16599
2020-03-27,17737
2020-03-28,7169
2020-03-29,4124
2020-03-30,10010
2020-03-31,9629
2020-04-01,9799
2020-04-02,10048
2020-04-03,10554
2020-04-04,5828
2020-04-05,4363
2020-04-06,10051
2020-04-07,10461
2020-04-08,10442
2020-04-09,10470
2020-04-10,8354
2020-04-11,5048
2020-04-12,2882
2020-04-13,4252
2020-04-14,10027
2020-04-15,10270
2020-04-16,10843
2020-04-17,10905
2020-04-18,5921
2020-04-19,4134
2020-04-20,10507
2020-04-21,10910
2020-04-22,10924
2020-04-23,11238
2020-04-24,11296
2020-04-25,6233
2020-04-26,4657
2020-04-27,10871
2020-04-28,10998
2020-04-29,11367
2020-04-30,11565
2020-05-01,11819
2020-05-02,6183
2020-05-03,4225
2020-05-04,5148
2020-05-05,12376
2020-05-06,12713
2020-05-07,12945
2020-05-08,13056
2020-05-09,7347
2020-05-10,5583
2020-05-11,12329
2020-05-12,12818
2020-05-13,13315
2020-05-14,13573
2020-05-15,14176
2020-05-16,8253
2020-05-17,6646
2020-05-18,15689
2020-05-19,15811
2020-05-20,16527
2020-05-21,16941
2020-05-22,17395
2020-05-23,10909
2020-05-24,8353
2020-05-25,16786
2020-05-26,16754
2020-05-27,17860
2020-05-28,18363
2020-05-29,18430
2020-05-30,11071
2020-05-31,7915
2020-06-01,8938
2020-06-02,17870
2020-06-03,18372
2020-06-04,19335
2020-06-05,19762
2020-06-06,12476
2020-06-07,10187
2020-06-08,20141
2020-06-09,20209
2020-06-10,21123
2020-06-11,21525
2020-06-12,22391
2020-06-13,15777
2020-06-14,12624
2020-06-15,20917
2020-06-16,21396
2020-06-17,22503
2020-06-18,22700
2020-06-19,24164
2020-06-20,16983
2020-06-21,14390
2020-06-22,22482
2020-06-23,22395
2020-06-24,22879
2020-06-25,23875
2020-06-26,25675
2020-06-27,18593
2020-06-28,16251
2020-06-29,24944
2020-06-30,24343
2020-07-01,25293
2020-07-02,26098
2020-07-03,28923
2020-07-04,21664
2020-07-05,19931
2020-07-06,25419
2020-07-07,25560
2020-07-08,25992
2020-07-09,27437
2020-07-10,29826
2020-07-11,23412
2020-07-12,21142
2020-07-13,26175
2020-07-14,25912
2020-07-15,27073
2020-07-16,27849
2020-07-17,30956
2020-07-18,24266
2020-07-19,22245
2020-07-20,27636
2020-07-21,26704
2020-07-22,27380
2020-07-23,29264
2020-07-24,31259
2020-07-25,25312
2020-07-26,23026
2020-07-27,27831
2020-07-28,27208
2020-07-29,28132
2020-07-30,30044
2020-07-31,32679
2020-08-01,27235
2020-08-02,21622
2020-08-03,25418
2020-08-04,28911
2020-08-05,28288
2020-08-06,29258
2020-08-07,32087
2020-08-08,26091
2020-08-09,23570
2020-08-10,28783
2020-08-11,27443
2020-08-12,28742
2020-08-13,29618
2020-08-14,31984
2020-08-15,25697
2020-08-16,23491
2020-08-17,28742
2020-08-18,28409
2020-08-19,28820
2020-08-20,28033
2020-08-21,31945
2020-08-22,25101
2020-08-23,23290
2020-08-24,28199
2020-08-25,25916
2020-08-26,28731
2020-08-27,28552
2020-08-28,31716
2020-08-29,24839
2020-08-30,23116
2020-08-31,27229
2020-09-01,27290
2020-09-02,27504
2020-09-03,28316
2020-09-04,31644
2020-09-05,23214
2020-09-06,22708
2020-09-07,27657
2020-09-08,27106
2020-09-09,28302
2020-09-10,28968
2020-09-11,32213
2020-09-12,23720
2020-09-13,23190
2020-09-14,27682
2020-09-15,27606
2020-09-16,28036
2020-09-17,29190
2020-09-18,32493
2020-09-19,24148
2020-09-20,23696
2020-09-21,27711
2020-09-22,27614
2020-09-23,28232
2020-09-24,29024
2020-09-25,32138
2020-09-26,23665
2020-09-27,23375
2020-09-28,26888
2020-09-29,27009
2020-09-30,27677
2020-10-01,28720
2020-10-02,31349
2020-10-03,22418
2020-10-04,20815
2020-10-05,26970
2020-10-06,27293
2020-10-07,24228
2020-10-08,24994
2020-10-09,26069
2020-10-10,16831
2020-10-11,14320
2020-10-12,23608
2020-10-13,23331
2020-10-14,24060
2020-10-15,25190
2020-10-16,26165
2020-10-17,16931
2020-10-18,13980
2020-10-19,24472
2020-10-20,25216
2020-10-21,27587
2020-10-22,20482
2020-10-23,21545
2020-10-24,10261
2020-10-25,7146
2020-10-26,8679
2020-10-27,19149
2020-10-28,19063
2020-10-29,19411
2020-10-30,20784
2020-10-31,11314
2020-11-01,9645
2020-11-02,20339
2020-11-03,21414
2020-11-04,21598
2020-11-05,22488
2020-11-06,23345
2020-11-07,12810
2020-11-08,10633
2020-11-09,21448
2020-11-10,21839
2020-11-11,21973
2020-11-12,23146
2020-11-13,24053
2020-11-14,13501
2020-11-15,10897
2020-11-16,21628
2020-11-17,22335
2020-11-18,22176
2020-11-19,23193
2020-11-20,23928
2020-11-21,13891
2020-11-22,11446
2020-11-23,22077
2020-11-24,22425
2020-11-25,23027
2020-11-26,23810
2020-11-27,24872
2020-11-28,14634
2020-11-29,11540
2020-11-30,23157
2020-12-01,25875
2020-12-02,26140
2020-12-03,27298
2020-12-04,28494
2020-12-05,20136
2020-12-06,16937
2020-12-07,26539
2020-12-08,26268
2020-12-09,26922
2020-12-10,28117
2020-12-11,28670
2020-12-12,21378
2020-12-13,16400
2020-12-14,27026
2020-12-15,27417
2020-12-16,28311
2020-12-17,29741
2020-12-18,32795
2020-12-19,24530
2020-12-20,22485
2020-12-21,29707
2020-12-22,30609
2020-12-23,29323
2020-12-24,18609
2020-12-25,7011
2020-12-26,13486
2020-12-27,12143
2020-12-28,14357
2020-12-29,16651
2020-12-30,18674
2020-12-31,14422
2021-01-01,6538
2021-01-02,10074
2021-01-03,8993
2021-01-04,15747
2021-01-05,16414
2021-01-06,16765
2021-01-07,15824
2021-01-08,16916
2021-01-09,9242
2021-01-10,7425
2021-01-11,15913
2021-01-12,15642
2021-01-13,15885
2021-01-14,16253
2021-01-15,16960
2021-01-16,9792
2021-01-17,7055
2021-01-18,15839
2021-01-19,16148
2021-01-20,16423
2021-01-21,16807
2021-01-22,17820
2021-01-23,10289
2021-01-24,7327
2021-01-25,16266
2021-01-26,16603
