,count
2020-01-01,6881
2020-01-02,9801
2020-01-03,10901
2020-01-04,8148
2020-01-05,7354
2020-01-06,10831
2020-01-07,10730
2020-01-08,11002
2020-01-09,11576
2020-01-10,12119
2020-01-11,7570
2020-01-12,8111
2020-01-13,10191
2020-01-14,11691
2020-01-15,12151
2020-01-16,11918
2020-01-17,12992
2020-01-18,9021
2020-01-19,8407
2020-01-20,12338
2020-01-21,11770
2020-01-22,11994
2020-01-23,12640
2020-01-24,12915
2020-01-25,8550
2020-01-26,8645
2020-01-27,12045
2020-01-28,11743
2020-01-29,12173
2020-01-30,13169
2020-01-31,13557
2020-02-01,9026
2020-02-02,9539
2020-02-03,12111
2020-02-04,11781
2020-02-05,12392
2020-02-06,12552
2020-02-07,12910
2020-02-08,8232
2020-02-09,7358
2020-02-10,11810
2020-02-11,11825
2020-02-12,12528
2020-02-13,12823
2020-02-14,13716
2020-02-15,7904
2020-02-16,7992
2020-02-17,12341
2020-02-18,12215
2020-02-19,12648
2020-02-20,13120
2020-02-21,13766
2020-02-22,9278
2020-02-23,9474
2020-02-24,12596
2020-02-25,12798
2020-02-26,12507
2020-02-27,12825
2020-02-28,13802
2020-02-29,7631
2020-03-01,9334
2020-03-02,12392
2020-03-03,12483
2020-03-04,12516
2020-03-05,12926
2020-03-06,13755
2020-03-07,9304
2020-03-08,9709
2020-03-09,12192
2020-03-10,11990
2020-03-11,12006
2020-03-12,12085
2020-03-13,10782
2020-03-14,6273
2020-03-15,6498
2020-03-16,8606
2020-03-17,5162
2020-03-18,8035
2020-03-19,8311
2020-03-20,8542
2020-03-21,4876
2020-03-22,6162
2020-03-23,7409
2020-03-24,7465
2020-03-25,7341
2020-03-26,7271
2020-03-27,7979
2020-03-28,2446
2020-03-29,1374
2020-03-30,4504
2020-03-31,4218
2020-04-01,4144
2020-04-02,4366
2020-04-03,4317
2020-04-04,1910
2020-04-05,1335
2020-04-06,4574
2020-04-07,4575
2020-04-08,4488
2020-04-09,4301
2020-04-10,3847
2020-04-11,1620
2020-04-12,936
2020-04-13,1552
2020-04-14,4330
2020-04-15,4574
2020-04-16,4572
2020-04-17,4419
2020-04-18,1924
2020-04-19,1326
2020-04-20,4662
2020-04-21,4496
2020-04-22,4467
2020-04-23,4689
2020-04-24,4500
2020-04-25,2137
2020-04-26,1446
2020-04-27,5008
2020-04-28,4871
2020-04-29,4734
2020-04-30,4702
2020-05-01,4639
2020-05-02,1928
2020-05-03,1302
2020-05-04,1693
2020-05-05,5190
2020-05-06,5039
2020-05-07,5243
2020-05-08,5238
2020-05-09,2347
2020-05-10,1755
2020-05-11,5149
2020-05-12,5170
2020-05-13,5377
2020-05-14,5473
2020-05-15,5463
2020-05-16,2598
2020-05-17,2092
2020-05-18,6565
2020-05-19,6568
2020-05-20,6717
2020-05-21,6621
2020-05-22,6612
2020-05-23,3384
2020-05-24,2732
2020-05-25,6932
2020-05-26,6932
2020-05-27,6940
2020-05-28,7424
2020-05-29,7059
2020-05-30,3429
2020-05-31,2650
2020-06-01,3239
2020-06-02,7674
2020-06-03,7177
2020-06-04,7431
2020-06-05,7643
2020-06-06,4043
2020-06-07,3267
2020-06-08,7942
2020-06-09,7927
2020-06-10,8058
2020-06-11,8231
2020-06-12,8568
2020-06-13,5475
2020-06-14,5359
2020-06-15,8617
2020-06-16,8617
2020-06-17,8794
2020-06-18,8974
2020-06-19,9182
2020-06-20,6224
2020-06-21,6326
2020-06-22,7823
2020-06-23,8808
2020-06-24,9665
2020-06-25,11027
2020-06-26,10238
2020-06-27,6817
2020-06-28,7115
2020-06-29,10375
2020-06-30,10313
2020-07-01,10860
2020-07-02,11677
2020-07-03,11607
2020-07-04,9311
2020-07-05,9762
2020-07-06,10712
2020-07-07,10726
2020-07-08,10510
2020-07-09,11288
2020-07-10,12838
2020-07-11,10939
2020-07-12,11938
2020-07-13,10995
2020-07-14,11058
2020-07-15,11903
2020-07-16,12357
2020-07-17,12936
2020-07-18,9862
2020-07-19,13517
2020-07-20,12730
2020-07-21,12988
2020-07-22,12123
2020-07-23,12195
2020-07-24,13330
2020-07-25,10268
2020-07-26,10437
2020-07-27,11367
2020-07-28,11904
2020-07-29,11612
2020-07-30,12548
2020-07-31,13695
2020-08-01,11424
2020-08-02,11036
2020-08-03,12088
2020-08-04,12214
2020-08-05,11545
2020-08-06,12821
2020-08-07,13431
2020-08-08,11567
2020-08-09,12658
2020-08-10,11810
2020-08-11,12019
2020-08-12,13049
2020-08-13,12144
2020-08-14,13025
2020-08-15,10320
2020-08-16,9831
2020-08-17,10706
2020-08-18,11584
2020-08-19,10696
2020-08-20,10379
2020-08-21,11972
2020-08-22,9572
2020-08-23,10432
2020-08-24,11187
2020-08-25,10154
2020-08-26,11985
2020-08-27,10745
2020-08-28,12387
2020-08-29,9960
2020-08-30,11106
2020-08-31,10759
2020-09-01,10333
2020-09-02,10726
2020-09-03,11035
2020-09-04,12620
2020-09-05,9345
2020-09-06,10306
2020-09-07,10690
2020-09-08,10966
2020-09-09,11320
2020-09-10,11369
2020-09-11,12531
2020-09-12,9450
2020-09-13,11290
2020-09-14,11028
2020-09-15,11236
2020-09-16,11557
2020-09-17,12069
2020-09-18,13511
2020-09-19,9410
2020-09-20,11326
2020-09-21,11083
2020-09-22,10263
2020-09-23,10502
2020-09-24,10410
2020-09-25,11515
2020-09-26,8052
2020-09-27,8259
2020-09-28,10155
2020-09-29,10483
2020-09-30,10201
2020-10-01,10555
2020-10-02,11489
2020-10-03,7598
2020-10-04,6469
2020-10-05,9512
2020-10-06,10878
2020-10-07,9078
2020-10-08,9278
2020-10-09,9466
2020-10-10,4512
2020-10-11,3836
2020-10-12,8947
2020-10-13,8813
2020-10-14,9204
2020-10-15,9388
2020-10-16,9408
2020-10-17,4628
2020-10-18,3849
2020-10-19,9214
2020-10-20,9249
2020-10-21,10055
2020-10-22,8241
2020-10-23,8134
2020-10-24,3136
2020-10-25,2184
2020-10-26,2842
2020-10-27,7826
2020-10-28,7880
2020-10-29,7832
2020-10-30,8183
2020-10-31,3510
2020-11-01,2895
2020-11-02,8388
2020-11-03,8533
2020-11-04,8699
2020-11-05,8903
2020-11-06,8959
2020-11-07,4089
