,count
2020-01-01,2388
2020-01-02,3752
2020-01-03,3695
2020-01-04,3131
2020-01-05,2680
2020-01-06,4657
2020-01-07,3794
2020-01-08,3539
2020-01-09,3926
2020-01-10,4166
2020-01-11,3087
2020-01-12,2598
2020-01-13,2982
2020-01-14,5125
2020-01-15,3880
2020-01-16,3881
2020-01-17,4196
2020-01-18,3404
2020-01-19,2834
2020-01-20,3751
2020-01-21,3639
2020-01-22,3746
2020-01-23,3813
2020-01-24,4265
2020-01-25,3302
2020-01-26,2860
2020-01-27,3634
2020-01-28,3562
2020-01-29,3846
2020-01-30,4050
2020-01-31,4519
2020-02-01,3561
2020-02-02,2776
2020-02-03,3754
2020-02-04,3748
2020-02-05,3952
2020-02-06,4267
2020-02-07,5254
2020-02-08,3274
2020-02-09,4120
2020-02-10,3974
2020-02-11,4130
2020-02-12,3821
2020-02-13,4542
2020-02-14,4701
2020-02-15,3112
2020-02-16,2599
2020-02-17,3640
2020-02-18,3628
2020-02-19,3856
2020-02-20,4116
2020-02-21,4438
2020-02-22,3423
2020-02-23,2837
2020-02-24,3802
2020-02-25,3948
2020-02-26,3997
2020-02-27,4216
2020-02-28,4614
2020-02-29,2563
2020-03-01,2903
2020-03-02,3772
2020-03-03,4325
2020-03-04,4169
2020-03-05,4247
2020-03-06,4543
2020-03-07,3501
2020-03-08,2857
2020-03-09,3725
2020-03-10,3848
2020-03-11,3990
2020-03-12,4280
2020-03-13,4585
2020-03-14,2859
2020-03-15,2313
2020-03-16,3125
2020-03-17,1767
2020-03-18,2778
2020-03-19,2792
2020-03-20,3057
2020-03-21,2355
2020-03-22,2044
2020-03-23,2468
2020-03-24,2676
2020-03-25,2608
2020-03-26,2713
2020-03-27,2960
2020-03-28,1580
2020-03-29,934
2020-03-30,1694
2020-03-31,1675
2020-04-01,1639
2020-04-02,1940
2020-04-03,1872
2020-04-04,1530
2020-04-05,1056
2020-04-06,1804
2020-04-07,1733
2020-04-08,1770
2020-04-09,1881
2020-04-10,1756
2020-04-11,1461
2020-04-12,732
2020-04-13,1034
2020-04-14,1866
2020-04-15,1833
