,num,cosit,start_date,end_date,path,raw_path,url
1967,1405,NRA_000000001405,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000001405.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000001405.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000001405&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2043,3102,NRA_000000003102,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003102.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003102.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003102&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2044,3103,NRA_000000003103,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003103.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003103.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003103&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2045,3104,NRA_000000003104,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003104.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003104.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003104&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2046,3105,NRA_000000003105,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003105.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003105.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003105&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2047,3106,NRA_000000003106,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003106.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003106.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003106&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2048,3111,NRA_000000003111,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003111.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003111.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003111&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2069,3314,NRA_000000003314,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003314.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003314.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003314&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2070,3401,NRA_000000003401,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003401.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003401.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003401&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
2088,3805,NRA_000000003805,2020-06-01,2020-06-30,Data/2020-06-01 - 2020-06-30/NRA_000000003805.xls,Data/Raw/2020-06-01 - 2020-06-30/NRA_000000003805.xls,https://www.nratrafficdata.ie/c2/tfdaysreport.asp?sgid=ZvyVmXU8jBt9PJE$c7UXt6&spid=NRA_000000003805&reportdate=2020-06-01&enddate=2020-06-30&excel=1&intval=11
